coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"120.974,14.2232",Sun Jan 31 04:26:50 +0000 2021,throwback MostPainfulBattleInLife WomenKnows BleachedHair TiisGandaMoment UulitPaBa,,https://www.instagram.com/p/CKsia8XLfS2/?igshid=146fs7c6j7chf,0,1355734261723262977,,,,en,"Silang, Rehiyon ng CALABARZON",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Let me just share some #throwback pictures before quarantine starts, 

This was one of my #MostPainfulBattleInLife #WomenKnows #BleachedHair #TiisGandaMoment #UulitPaBa  😂🤣😅 @ Silang, Cavite https://t.co/nupA0Q7Feo",https://twitter.com/hama_NOMi_chiyo/status/1355734261723262977,Sat Mar 26 03:09:40 +0000 2011,272232533,false,#ARMY #Blink #Once 🇵🇭 🇺🇲,8940,305,218,4,"Atascadero, CA",NOMii (노에미 갈만),hama_NOMi_chiyo,17396,,,false
"-0.20895459,39.65961564",Sun Jan 31 09:51:47 +0000 2021,BeachesManagement SustainableDevelopment CityManagement,,https://www.instagram.com/p/CKtHm_PhUGP/?igshid=1wef61ff9rluw,0,1355816036797394944,,,,en,"Sagunto, España",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Seaweed dredging boats near Delta of Palancia River. Beach maintenance before summer. Tourism recovery after pandemic restrictions. #BeachesManagement #SustainableDevelopment #CityManagement https://t.co/me1aQn1jSS,https://twitter.com/DrLepervanche/status/1355816036797394944,Fri Aug 21 01:01:02 +0000 2009,67477681,false,Professor of Management & IT. MIT NE. TEDxSaguntoStudio Organizer and TEDxFSCJ Founder. Sudden Cardiac Arrest & CPR Survivor. BSA Sea Scouter @ScoutmasterJose,1234,1510,2010,128,"Jacksonville, Florida",Jose Gregorio Lepervanche Valencia,DrLepervanche,25156,,http://www.lepervanche.org,false
"-0.13608912,51.50413561",Sun Jan 31 09:54:02 +0000 2021,,,http://dlvr.it/RrjK3x,0,1355816601296113664,,,,en,"London, England",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Novavax vaccine is 'effective against new UK COVID-19 strain': Also, an early-stage study in South Africa was carried out on 4,400 people including volunteers with HIV. Advertisement. The result of the trial in the ... https://t.co/6OL2htNVp9",https://twitter.com/StigmabaseO/status/1355816601296113664,Thu Apr 29 13:56:48 +0000 2010,138418838,false,Americas — United Kingdom  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,4142,3742,262,Americas | United Kingdom,Stigmabase | ORG,StigmabaseO,1828239,,https://www.stigmabase.org/,false
"0.7093,52.24992",Sun Jan 31 09:54:13 +0000 2021,youarenotalone loss grief covid_19 lockdown angelsofbury,,https://www.instagram.com/p/CKtH45hnH1Z/?igshid=12euyevbgxtkf,0,1355816649740447745,,,,en,"Bury Saint Edmunds, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",#youarenotalone as we struggle with #loss #grief in #covid_19 #lockdown Please join me today at 10.45am @westroadchurchbse on YouTube to find some comfort #angelsofbury @ Bury St. Edmunds https://t.co/W24OGZGAuI,https://twitter.com/OakersAF/status/1355816649740447745,Mon Feb 07 15:48:49 +0000 2011,248719719,false,"Huge northern bloke who happens to be a sports nut, church pastor and a professional plate spinner for the Kingdom of God.",11074,660,796,21,"Bury Saint Edmunds, England",David Oakley,OakersAF,10204,,http://www.westroadchurch.org.uk,false
"-9.05702086,53.27206421",Sun Jan 31 09:27:39 +0000 2021,,,http://www.salivascreen.org,0,1355809961108938767,SeoigheCathal,1355548959163494403,2735932997,en,"Galway, Ireland",false,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@SeoigheCathal Serial covid19 screening of schookids &amp; teachers via nucleic acid and/or antigen tests can allow schools to reopen &amp; function…

https://t.co/IzsnYWLXcM",https://twitter.com/CharlesSpillane/status/1355809961108938767,Sat May 09 12:34:38 +0000 2009,38845292,false,"Professor (Scientist, AgResearch, Climate, SDGs) Director of Ryan Institute (100 teams, 500 researchers for sustainability) @ National Uni of Ireland Galway",284,2780,4142,113,Ireland,CharlesSpillane,CharlesSpillane,2680,,http://www.ryaninstitute.ie,false
"-118.2445,34.0564",Sun Jan 31 05:40:07 +0000 2021,dollface artistsofinstagram latinaartist saturdaynightfever,,https://www.instagram.com/p/CKsqz0VprBw/?igshid=9yng7y025gk3,0,1355752703507324935,,,,en,"Los Angeles, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Doll in a box, 2021. Oil on linen canvas, 8x10. Saturday night in quarantine feelings. #dollface #artistsofinstagram #latinaartist🎨 #saturdaynightfever @ Los Angeles, California https://t.co/zDtPn5w29C",https://twitter.com/MsDiGaeta/status/1355752703507324935,Fri Feb 03 06:33:58 +0000 2012,481819553,false,"mitigating the intangible, old skool like a pair of karate shoes.",72448,843,488,9,"Los Angeles, New York",Diane Gaeta,MsDiGaeta,13931,,http://www.facebook.com/opcfilm,false
"0.26473,52.40121",Sun Jan 31 11:11:08 +0000 2021,ely photography picoftheday,,https://www.instagram.com/p/CKtQsPInZaC/?igshid=96i9fwr4xbni,0,1355836005681520641,,,,en,"Ely, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Early morning brush off Covid walk with Herbie #ely #photography #picoftheday @ Ely, Cambridgeshire, United Kingdom https://t.co/VcUvuTYyk9",https://twitter.com/dynamicrob66/status/1355836005681520641,Thu Nov 24 20:00:21 +0000 2011,420560471,false,CREATIVE | DESIGN | DIGITAL | BRANDING PHOTOGRAPHY | MUSIC | THEATRE instagram: robtakessnaps,600,211,374,14,Cambridgeshire,rob barton,dynamicrob66,984,,http://www.dynamiccreative.co.uk,false
"101.5931,3.0642",Sun Jan 31 10:41:25 +0000 2021,StayStrongStaySafeStayHealthyAndPositive StayTogetherMalaysian PrayForMalaysia,,https://www.instagram.com/p/CKtNSjDhkuL/?igshid=1wuuo1n5gp46p,0,1355828525245353984,,,,en,"Damansara, Selangor",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID-19 UPDATES 31 JAN 2021

New Cases~5298
Recoveries~4522
Deaths~14
Total Cases~214,959

#StayStrongStaySafeStayHealthyAndPositive 
#StayTogetherMalaysian
#PrayForMalaysia @ Subang Jaya https://t.co/Ws0eUtx0Yx",https://twitter.com/Jazzbebo8888/status/1355828525245353984,Thu Jan 23 11:22:53 +0000 2020,1220305808518332416,false,"FIVE RIVERS RESOURCES SDN BHD (1350952-H) MANAGING DIRECTOR
FB: Jazzmine Kaur 
PAGE: Five Rivers Resources
IG: @fiveriversresources",6466,248,4703,0,"KUALA LUMPUR, MALAYSIA",MS JAZZMINE KAUR,Jazzbebo8888,8411,,http://www.fiveriversresources.com,false
"-95.61974287,29.72399001",Sun Jan 31 05:31:17 +0000 2021,,,https://www.instagram.com/p/CKspzGqpWpB/?igshid=v40x9152ddm6,0,1355750480878710786,,,,en,"Houston, TX",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Spent 3/4 of my day volunteering at the local clinic for the COVID-19 Vaccination today. It was my honor and privilege to help in my roll as a former Nurse Practitioner @ Westside, Houston, Texas https://t.co/TsfBIbEXYq",https://twitter.com/qwickbands/status/1355750480878710786,Sat Jun 20 03:12:07 +0000 2015,3335997129,false,We are a start-up company obsessed with designing and producing the most comfortable and effective sweat-controlling headbands for your active lifestyle!,3370,206,193,21,"Sugar Land, TX",Qwickbands,qwickbands,2136,,http://www.qwickbands.com,false
"-0.128088,51.435733",Sun Jan 31 10:57:50 +0000 2021,streatham pandemic camp,,https://www.instagram.com/p/CKtPLAEnqZ6/?igshid=3tf6ev2ofvok,1,1355832659889565696,,,,en,"Lambeth, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Too gay ? Or not gay enough ? New colours for @boycedaroca #streatham some post #pandemic #camp ???? @ Boyce da Roca https://t.co/1C6d5piX12,https://twitter.com/BoyceDaRoca/status/1355832659889565696,Mon Aug 06 12:23:16 +0000 2012,740505264,false,Boutique cafe.,118,1563,266,35,9 Leigham hall Parade SW16 1DR,Boyce Da Roca,BoyceDaRoca,3212,,,false
