coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-74.0007613,40.7207559",Sat Jan 02 05:24:49 +0000 2021,,,https://www.secretspringsstudio.com/blog/artist-trying-to-survive-the-covid-19-pandemic,0,1345239603851177984,,,,en,"Manhattan, NY",false,,0,,,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>",What 2020 has taught me  https://t.co/8ST0zuSKu2,https://twitter.com/secret_springs/status/1345239603851177984,Wed Jun 03 21:46:55 +0000 2015,3307438281,false,Nature lover turned leaf artist. Freezing mother nature in time by incorporating real leaf impressions in to each piece. Find original artwork @ my store below.,61,19,64,0,"Virginia, USA",Amanda Robinson,secret_springs,161,,http://secretspringsstudio.com,false
"-0.13355317,51.49594393",Sat Jan 02 11:55:22 +0000 2021,morningcommute treatpeoplewithkindness tpwk muddywalk covid19 coronavirus tier4 lockdown London,,https://www.instagram.com/p/CJiqiM5AcZa/?igshid=kwzeckp2c476,0,1345337890549731328,,,,en,"London, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Today we are treating people with kindness and also going for a muddy walk 

#morningcommute #treatpeoplewithkindness #tpwk #muddywalk #covid19 #coronavirus #tier4 #lockdown #London @ Westminster https://t.co/Isll2bnkiV",https://twitter.com/beecee/status/1345337890549731328,Thu Apr 24 08:00:38 +0000 2008,14508711,false,A cautionary tale. Former Writer on 06:37 train to Maidstone. Award winning romcom author. Head of Storytelling at W2O. Will write for gig tickets and/or boots,25082,2909,2997,142,London/Tumblr,Brigid Coady 🌈,beecee,81608,,http://www.brigidcoady.com,false
"11.87766,43.46354",Sat Jan 02 06:19:35 +0000 2021,,,https://www.instagram.com/p/CJiERfiBcoM/?igshid=1qp80bwp3ezi4,0,1345253386359341057,,,,en,"Arezzo, Toscana",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Special holidays, special people! From the bottom of my heart, thank you for a beautiful Christmas, birthday and New Year in Arezzo this year! Covid safe fun, games, laughs, zooming, and eating! @ Arezzo, Italy https://t.co/beniQ6dWjM",https://twitter.com/LeaPayton/status/1345253386359341057,Thu Sep 17 06:07:25 +0000 2009,74947163,false,"I love my nieces, my twin, my family, my friends, my dogs, my students, my career, and traveling! Adventure gives me life!",606,422,1643,8,"Monticello, AR",Leanna Payton,LeaPayton,4966,,,false
"127.74575878,26.33450154",Sat Jan 02 07:07:39 +0000 2021,,,https://youtu.be/mSIP_-ndX20 https://www.instagram.com/p/CJiI5o3FhVHvcEna_vgQh1kBPN_Tmy0gEbTgRA0/?igshid=15lcd1d1vnfb6,0,1345265480714616833,,,,en,沖縄 北谷町,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","It's been a very long time no sing, perhaps, I tend to forget how to do this, just being productive during quarantine. The full video link https://t.co/WAxYrIleHq https://t.co/JfI74eC9Ue",https://twitter.com/ulungjw/status/1345265480714616833,Wed Nov 20 08:28:28 +0000 2013,2204521584,false,let the black ones remain black,408,418,742,1,"Okinawa-ken, Japan",ulung jantama wisha,ulungjw,1782,,,false
"-2.4729,53.7434",Sat Jan 02 13:38:56 +0000 2021,winterwonderland blackburn snow snowday covid_19 covid tier4,,https://www.instagram.com/p/CJi2LbAHDyLB10ne0lVIPB5P4NlLs73XfPF0e00/?igshid=1pksbkr0oc9xf,0,1345363953438879744,,,,en,"Blackburn, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",#winterwonderland #blackburn #snow #snowday #covid_19 #covid #tier4 02/01/2021 😃❄️🌨...😒🦠 @ Blackburn https://t.co/V8gBRyzqvb,https://twitter.com/G4Y4/status/1345363953438879744,Wed Feb 04 20:22:39 +0000 2009,20088636,false,,10093,1148,1607,16,Blackburn,G4Y4,G4Y4,13231,,,false
"-3.2038346,55.9426988",Sat Jan 02 11:12:01 +0000 2021,tier4 lockdown hotterthanhell tattoo artist studio best edinburgh scotland,,https://www.instagram.com/p/CJilvY8lKdr/?igshid=152f5ebjho9zi,0,1345326978509901824,,,,en,"Edinburgh, Scotland",false,,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🌜🖤🫀 We’re in #tier4 #lockdown until further notice. See our previous posts and stay tuned for news and info. Cheers and and cya ASAP! 🤘
-
#hotterthanhell #tattoo #artist #studio #best #edinburgh #scotland 
🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/wrTAfKjv5t",https://twitter.com/HTHTattoo_/status/1345326978509901824,Fri Mar 13 16:46:15 +0000 2015,3077331516,false,"Edinburgh's Premier 5-star Tattoo Studio! Our award winning artists are professional, experienced, friendly and helpful. By appointment or walk-in, open 7-days.",26,93,153,7,"Edinburgh, Scotland",Hotter than Hell Tattoo,HTHTattoo_,2163,,http://www.hotterthanhelltattoo.com,false
"121.05104471,14.54850506",Sat Jan 02 09:44:29 +0000 2021,,,https://www.instagram.com/p/CJibuOgHAVU/?igshid=1p4s139z6vcc2,0,1345304949157212160,,,,en,"Lungsod ng Makati, Pambansang Punong Rehiyon",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Practice social distancing. 😆
.
Nice to finally meet you in person, Ms. Gail! Thanks for your time. 'Til next time.. 💜💜💜 @ Bonifacio Global City https://t.co/1KHwuAhBMY",https://twitter.com/aybiemerino/status/1345304949157212160,Sat Jul 04 02:40:16 +0000 2009,53572455,false,"GOD | Scorpio | Purple | Introvert | Uaena 🇵🇭 ""Impossible is not a word, it's just a reason for someone not to try..""",504,126,36,2,"Taguig City, Philippines",아이비 ᴵᵁ🇵🇭,aybiemerino,21507,,,false
"-114.52167,36.42589",Sat Jan 02 06:32:09 +0000 2021,nevadaroads utah valleyoffirestatepark epicroadtrip cedarcity curvyroads robertfrost pwctakesabreak nevada arizona roadtrip socialdistancing facemask extraordinaryviews,,https://www.instagram.com/p/CJiFtansnMf/?igshid=xfto69f0hcul,0,1345256548755529728,,,,en,"Nevada, USA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Always take the road less traveled! #nevadaroads #utah #valleyoffirestatepark #epicroadtrip #cedarcity #curvyroads #robertfrost #pwctakesabreak #nevada #arizona #roadtrip #socialdistancing #facemask #extraordinaryviews https://t.co/X0RgiijZA9,https://twitter.com/noordinaryliz/status/1345256548755529728,Mon Aug 06 22:39:51 +0000 2012,741595861,false,"👩🏻Blogger & Influencer in Florida 
👩🏻‍🏫Motivational Speaker 
👩‍👧‍👦Advocate for Foster Kids
Author📚 #noordinaryliz",13378,2858,4845,323,"Tampa, FL",Elizabeth Sutherland,noordinaryliz,12620,,http://www.noordinaryliz.com,false
"-118.39892864,34.0661942",Sat Jan 02 05:12:15 +0000 2021,nodiningout covid la,,https://www.instagram.com/p/CJh8kT9FOqe/?igshid=d7fmvnq2cwpj,0,1345236439966113792,,,,en,"Beverly Hills, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",crispy chicken sandwich 🥪 ✨ #nodiningout #covid #la @ The Honor Bar https://t.co/uhZqDEcEjQ,https://twitter.com/_SOLISIS_/status/1345236439966113792,Sun Dec 12 07:11:26 +0000 2010,225703996,false,,50,14685,6553,19,"Las Vegas, NV",Sol Isis,_SOLISIS_,27131,,http://www.datpiff.com/Sol-Isis-The-New-Testament-mixtape.694621.html,false
"144.9661,-37.8156",Sat Jan 02 10:00:44 +0000 2021,deoxit dealingwithcovid gallienkrueger electronicvictimsofcovid,,https://www.instagram.com/p/CJidlJPJ2WT/?igshid=1niepwrz7l97o,0,1345309038242897921,,,,en,"Melbourne, Victoria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID aftermath...saved by Deoxit. #deoxit #dealingwithcovid #gallienkrueger #electronicvictimsofcovid @ Melbourne, Victoria, Australia https://t.co/ajzSVZ7veI",https://twitter.com/LucysCrown/status/1345309038242897921,Tue Jan 19 02:14:52 +0000 2010,106283225,false,"Lucys Crown is an alternative grunge rock band with vocals described as barbed wire across the heart, emotionally charged riffs & melodies reflect early grunge.",2639,258,785,2,Australia,LUCYS CROWN,LucysCrown,550,,http://www.lucyscrown.com/,false
"-111.074249,45.6706102",Sat Jan 02 13:36:32 +0000 2021,,,http://dlvr.it/RpmnFh,1,1345363348309753856,,,,en,"Bozeman, MT",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AP:  Student teachers navigate pandemic with students, mentors https://t.co/YbS1Yr2U7S",https://twitter.com/bozchron/status/1345363348309753856,Wed Mar 04 00:33:58 +0000 2009,22707076,false,The official Twitter feed for the Bozeman Daily Chronicle.,92,21678,1279,468,"Bozeman, Montana",Bozeman Daily Chronicle,bozchron,104265,,http://bozemandailychronicle.com/,false
"-7.18860023,52.52617581",Sat Jan 02 11:57:31 +0000 2021,,,https://www.instagram.com/p/CJiq8n4B9uLXuC-K1g9SRMpt-uS5VRRmQuBjgg0/?igshid=1kw53mdhbymmt,4,1345338430386020353,,,,en,"Kilkenny, Ireland",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Two beautiful walks put in before another lockdown. Inistioge and Mount Juliet on a crispy winters day. @ Mount Juliet Estate https://t.co/chwDAhQAWo,https://twitter.com/davidm3329/status/1345338430386020353,Sat Aug 29 18:24:06 +0000 2009,69928139,false,"Clare
S.Cullinane Scholar 2018.
Studying Ag Science in Dkit part time
Managing a 340 cow dairy farm.
All views my own, DM me with issues you have.",22516,2072,1182,15,"Kilkenny, Ireland",David Melody,davidm3329,7085,,,false
"100.66236019,13.68689482",Sat Jan 02 12:07:40 +0000 2021,,,https://www.instagram.com/p/CJisHDCFtTf/?igshid=eh4abq3q59rd,0,1345340985530744834,,,,en,"หนองบอน, ประเทศไทย",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Having fun before a possible lockdown 🎾 @ สวนหลวง ร.9 https://t.co/0ArX1f7zpC,https://twitter.com/LertkitK/status/1345340985530744834,Sat Sep 05 05:01:43 +0000 2009,71731943,false,"A boy who loves travel , a tennis player , food and design lover. for more photos from my view ➡️ IG : Supergolfino",4177,220,384,6,"BKK ,Thailand",นี่พี่แอลเอง,LertkitK,8329,,http://www.instagram.com/supergolfino,false
"-0.6639,51.91736",Sat Jan 02 11:23:17 +0000 2021,insta360onex2 insta360 leightonbuzzard winter park blue tinyplanet lockdown tier4,,https://www.instagram.com/p/CJinB0TAqya/?igshid=1xkmopim0x0zb,0,1345329813796630528,,,,en,"Leighton Buzzard, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Astral Park lake in the sunshine with the swans. #insta360onex2 #insta360 #leightonbuzzard #winter #park #blue #tinyplanet #lockdown #tier4 @ Leighton Buzzard https://t.co/6eFPnoejhh,https://twitter.com/360Buzzard/status/1345329813796630528,Thu Dec 10 21:05:48 +0000 2020,1337141454817386501,false,"360 and regular shots from Leighton Buzzard and around using the Insta 360 X2 360 camera. 
Check out all my shots at Instagram: leighton_buzzard_360",12,13,22,0,"Leighton Buzzard, England",Leighton Buzzard 360,360Buzzard,98,,http://instagram.com/Leighton_Buzzard_360,false
"13.74759333,47.15737915",Sat Jan 02 07:53:41 +0000 2021,covid,,,0,1345277065428422656,,,,en,"Mariapfarr, Österreich",,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",happy 1st birthday #covid ! 🎂,https://twitter.com/3mind/status/1345277065428422656,Tue Jan 15 12:21:26 +0000 2008,12267072,false,"api evangelist, agile engineer, father of dragons & passionate cook.",1029,133,112,11,,3mind,3mind,9767,,,false
"77.27617188,28.53861577",Sat Jan 02 07:02:32 +0000 2021,,,http://dlvr.it/Rpm2HK,0,1345264194241789953,,,,en,"नई दिल्ली, भारत",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","INGMT — India's pandemic of violence against women: As COVID-19 continues to disproportionately impact women and girls hit by multiple humanitarian crises, the UN sexual and reproductive health agency ... View article... https://t.co/3LpoqCUh3D",https://twitter.com/StigmabaseA/status/1345264194241789953,Sat May 29 17:26:03 +0000 2010,149585330,false,Australia - New Zealand — 日本語  — 中国 — 한국말 |  Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010.,0,2908,1275,139,Asia | Australia - Pacific,Stigmabase | ASIA,StigmabaseA,1550032,,https://www.stigmabase.org/,false
"-73.56725453,45.75975883",Sat Jan 02 12:42:02 +0000 2021,,,http://dlvr.it/Rpmgmv,0,1345349631891259392,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Pat Leahy: No harm to put all this Covid pessimism into context: So do Ireland's peers. And so do the billions of people who do not have the good fortune to be born in a country that enjoys not just health, wealth and ... https://t.co/tpGJx1m4Z0",https://twitter.com/StigmabaseN/status/1345349631891259392,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951806,,https://www.stigmabase.org/,false
