coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"90.779,24.43897",Sat Feb 20 07:42:08 +0000 2021,,,https://www.instagram.com/p/CLgYqyVJbQF/?igshid=b0w2l61pi99g,1,1363031166736097280,,,,en,"Dhaka, Bangladesh",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Covid-19, Vaccination complete @ Kishoreganj, Dhaka, Bangladesh https://t.co/g2CnBNNuD4",https://twitter.com/h_toufike/status/1363031166736097280,Tue Sep 08 15:11:53 +0000 2020,1303350177512583173,false,,599,85,1730,0,,M.H. Thoufike,h_toufike,64,,,false
"28.05327941,-26.23791898",Sat Feb 20 11:06:02 +0000 2021,,,https://www.instagram.com/p/CLgwATgjkrW/?igshid=akalclt8ahg6,0,1363082477779247106,,,,en,"Johannesburg, South Africa",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Shorts and Shades with Shasha @emthunzinisportspub .. Let's have fun and be safe at the same time..

Covid 19 regulations must be always practiced @ Emthunzini Sports PUB https://t.co/z8v4TRkTKJ",https://twitter.com/iamdjtumza/status/1363082477779247106,Mon May 03 15:04:49 +0000 2010,139744802,false,"Producer/Remixer/Artist/Club Dj/ For Bookings Solti 0614320561  https://t.co/s79XZbR8gZ
https://t.co/E90kVcMXuM",714,2783,4902,9,"Johannesburg, South Africa",Dj Tumza (Kholona - Feat Various Artists),iamdjtumza,9855,,http://www.109productions.co.za,false
"101.51649356,3.07353803",Sat Feb 20 07:41:05 +0000 2021,,https://twitter.com/Media_Selangor/status/1363030900821299204/photo/1,https://selangorjournal.my/2021/02/fam-mfl-seek-early-covid-19-vaccination-for-players-officials/?utm_source=dlvr.it&utm_medium=twitter,0,1363030900821299204,,,,en,"Bandar Petaling Jaya, Selangor",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Selangor Journal | FAM, MFL seek early Covid-19 vaccination for players, officials https://t.co/kDVkSYiX8O https://t.co/cMpOPlPJyn",https://twitter.com/Media_Selangor/status/1363030900821299204,Thu Mar 31 15:04:18 +0000 2011,275057058,false,Segar. Semasa. Selangor. Kami sampaikan berita mutakhir dan perkembangan negeri di SelangorTV dan Selangorkini.,1774,51185,276,154,Shah Alam,Media Selangor,Media_Selangor,226214,,http://www.selangorkini.my,false
"101.51649356,3.07353803",Sat Feb 20 08:22:32 +0000 2021,,https://twitter.com/Media_Selangor/status/1363041333456248837/photo/1,https://selangorjournal.my/2021/02/free-covid-19-community-testing-to-continue-in-petaling-jaya-tomorrow/?utm_source=dlvr.it&utm_medium=twitter,2,1363041333456248837,,,,en,"Bandar Petaling Jaya, Selangor",false,,2,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Selangor Journal | Free Covid-19 community testing to continue in Petaling Jaya tomorrow https://t.co/cQNklxhS48 https://t.co/5ap1tfsCWs,https://twitter.com/Media_Selangor/status/1363041333456248837,Thu Mar 31 15:04:18 +0000 2011,275057058,false,Segar. Semasa. Selangor. Kami sampaikan berita mutakhir dan perkembangan negeri di SelangorTV dan Selangorkini.,1774,51185,276,154,Shah Alam,Media Selangor,Media_Selangor,226214,,http://www.selangorkini.my,false
"101.51649356,3.07353803",Sat Feb 20 06:19:04 +0000 2021,,https://twitter.com/Media_Selangor/status/1363010261704052736/photo/1,https://selangorjournal.my/2021/02/covid-vaccine-armed-forces-provides-coordination-assistance/?utm_source=dlvr.it&utm_medium=twitter,1,1363010261704052736,,,,en,"Bandar Petaling Jaya, Selangor",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Selangor Journal | Covid vaccine: Armed Forces provides coordination assistance https://t.co/CSjSjn6i3z https://t.co/hoUDWZ3nU4,https://twitter.com/Media_Selangor/status/1363010261704052736,Thu Mar 31 15:04:18 +0000 2011,275057058,false,Segar. Semasa. Selangor. Kami sampaikan berita mutakhir dan perkembangan negeri di SelangorTV dan Selangorkini.,1774,51185,276,154,Shah Alam,Media Selangor,Media_Selangor,226214,,http://www.selangorkini.my,false
"106.8335573,-6.21409133",Sat Feb 20 09:43:32 +0000 2021,,https://twitter.com/Tempoyakbusuk/status/1363061718398640129/photo/1,https://www.kaskus.co.id/thread/5be79137ddd7709d2b8b4567/7-film-semi-dewasa-asal-korea-yang-legendaris-dan-top//5-artis-cantik-korea-dengan-bibir-menurun-yang-sexy-dan-mempesona-part-2kebiasaan-sederhana-ini-bisa-mengubah-kamu-jadi-orang-berkelas-kumpulan-alamat-situs-donlot-video-lewat-handphone-10-film-semi-dewasa-yang-punya-kualitas-bagus-sudah-nonton-belum--Acrobatic-Adorable-Adorable-Asian-Adorable-Chinese-Adorable-Indian-Adorable-Japanese-Adultery-African-Aged-Aged-Arab-Aged-Indian-Airplane-Alien-All-Holes-Alluring-Amateur-Amateur-Anal-Sex-Amateur-Blowjob-Amateur-In-Gangbang-Amateur-Interracial-Sex-Amateur-Lesbian-Amateur-MILF-Amateur-Teen-Amateur-Threesome-Amateur-Wife-American--TubeGalore-FUQ-iXXX-VR-Porzo-HD-Porzo-GayMaleTube-ShemanTube-ForHerTube-MatureTube-TubePornstars-TubeMales-TubeShemales-hal---hal-yang-hanya-dialami-bocah-generasi-90-an-sewaktu-masih-duduk-di-bangku-osis/8-film-sci-fi-mindblowing-yang-bikin-otak-jenius/9-foto-cewek-cantik-indonesia-idaman-para-cowok-nomor-5-bikin-mata-melongo,0,1363061718398640129,,,,en,"Setia Budi, Indonesia",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","https://t.co/mWbL1YGuTN link the guardian top seo Streaming: Star is Disney+ for grownups – but is it any good?: The children’s lockdown lifesaver is about to launch a streaming service for adults, showcasing the familiar, the… bukan bokep jav film semi dewasa porn sex https://t.co/BvVJZYGIYA",https://twitter.com/Tempoyakbusuk/status/1363061718398640129,Sat Nov 29 15:37:50 +0000 2014,2913900793,false,"Film Semi Dewasa
Physics
Chemistry
Biology
Health Sciences
Ecology
Earth
Cognitive
Mathematics
Computer
Blog
bokep
porno
video
People
Papers
Job Board
Advertise",100,12070,2,35,Sumatera Indonesia Raya Pengertiantempoyak adalah masakan yang berasal dari buah durian yang difermentasi. Tempoyak merupakan makanan lauk,#Filmsemi barat asia korea jepang thailand cina TT,Tempoyakbusuk,4225,,https://www.kaskus.co.id/post/5be8597a5a5163605d8b4575,false
"-73.56725453,45.75975883",Sat Feb 20 05:38:02 +0000 2021,,,http://dlvr.it/Rt5Rhy,0,1362999936967614469,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Statement from the National Public Health Emergency Team on the detection of P1 variant in ...: ""Detection of this variant in Ireland does not change the fact that our best defence against all forms of COVID-19 is to stick with the… https://t.co/SBUW9RX5jO",https://twitter.com/StigmabaseN/status/1362999936967614469,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951813,,https://www.stigmabase.org/,false
"-0.1094,51.5141",Sat Feb 20 09:55:57 +0000 2021,imecewomenscentre covid_19 kovit19 travelcovid19,,https://www.instagram.com/p/CLgn-_Onm9Q/?igshid=qjlp5umoqgia,0,1363064840810561538,,,,en,"City of London, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#imecewomenscentre #covid_19 #kovit19 #travelcovid19 @ London, United Kingdom https://t.co/u1qBgnJ2A1",https://twitter.com/imecewomen/status/1363064840810561538,Fri Jan 31 14:14:03 +0000 2014,2320861880,false,"Woman only charity aiming to improve the lives of BAMER women. Supporting women since 1982 to tackle VAWG, 'Honour' Based Violence, Forced Marriage & FGM",748,1144,706,14,"Islington, London",imecewomenscentre,imecewomen,1355,,http://www.imece.org.uk/,false
"7.45147705,46.93971485",Sat Feb 20 06:46:02 +0000 2021,,,http://dlvr.it/Rt5ZZt,0,1363017049144922113,,,,en,"Bern, Schweiz",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Switzerland plans cautious easing of pandemic lockdown from March  Reuters https://t.co/DpoLZ9zPQV,https://twitter.com/swissonlinedati/status/1363017049144922113,Tue Sep 25 03:22:27 +0000 2012,844781911,false,"Swiss #dating & #matchmaking service. #Meet Swiss #singles in #Switzerland who match your personality based on your #affinities!
#love #onlinedating",3,1760,389,98,Switzerland,SwissOnlineDating.ch,swissonlinedati,25375,,http://swissonlinedating.ch/,false
"-74.0007613,40.7207559",Sat Feb 20 05:15:36 +0000 2021,,,https://www.encmoments.com/home/pda72hbzemkt26sm2bz3amd58jwd8l-jw75a-ag359-zbk6m,0,1362994288901173248,,,,en,"Manhattan, NY",false,,0,,,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>",Friday's Lenoir County COVID-19 Update  https://t.co/zBxJyEXuo9,https://twitter.com/JuniousSmithIII/status/1362994288901173248,Sat Aug 20 17:21:51 +0000 2011,358882289,false,"Jack of all trades, master of a couple. Nine Dime born and raised, Quarter Deuce living.  Founder of ENC Moments. Writer at The Wake Weekly.",2171,2737,527,32,North Carolina,JS3,JuniousSmithIII,43230,,http://encmoments.com,false
