coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-73.56725453,45.75975883",Wed Apr 14 12:47:34 +0000 2021,,,http://dlvr.it/RxfHNc,0,1382314586511089667,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: HIQA recommends measures to encourage health staff vaccination: Ms Ní Sheaghdha said the Irish health service ""cannot cope with a fourth wave"". She said Ireland's healthcare workers ""have done a very good job ... https://t.co/dFCOI8dcQE",https://twitter.com/StigmabaseN/status/1382314586511089667,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951942,,https://www.stigmabase.org/,false
"1.19822471,52.64520359",Wed Apr 14 12:03:04 +0000 2021,,https://twitter.com/DunsfordMage/status/1382303389715992581/photo/1,https://twitter.com/cookywook/status/1382297426581655553,0,1382303389715992581,,,,en,"East, England",false,1382297426581655553,0,,,"<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>",I see what you did there! https://t.co/sTE5W0lEHa https://t.co/7eL0vmsRKg,https://twitter.com/DunsfordMage/status/1382303389715992581,Fri Mar 13 23:11:20 +0000 2009,24277547,false,"WoW: Darkmoon Faire (Clan Duns), music Glass to PSB 🏳️‍🌈 (he/him)",46153,424,453,48,"Norwich, England",Colin Robinson 💉💉💉,DunsfordMage,42097,,http://about.me/robinsoncolin,false
"7.4601,51.5167",Wed Apr 14 13:08:35 +0000 2021,,,https://www.instagram.com/p/CNpcJODotJB/?igshid=c9jte2xff3ke,0,1382319877013307398,,,,en,"Dortmund, Deutschland",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Good Bye Covid-19 @ Dortmund https://t.co/GXX1ZiOLu9,https://twitter.com/owl858/status/1382319877013307398,Wed Nov 12 21:20:58 +0000 2014,2874284159,false,Kaufmann,1057,44,341,0,Dortmund ,Oskar Ludwig,owl858,1451,,,false
"-84.51061334,39.12040384",Wed Apr 14 14:24:22 +0000 2021,covidvacccine vaccinationdone ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs teampfizer covid_19 immunity,,https://www.instagram.com/p/CNpk1WehZGP/?igshid=gmrgbvz0ewxs,1,1382338947519553536,,,,en,"Cincinnati, OH",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","My dudes, I am fully vaccinated!! #covidvacccine #vaccinationdone✔️ #ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs #teampfizer #covid_19 #immunity @ The Christ Hospital Joint and Spine Center https://t.co/WOWOoc48oQ",https://twitter.com/margarchivist/status/1382338947519553536,Thu Oct 13 00:40:18 +0000 2011,389795669,false,"MLIS student, historian, writer, musician #BLM #CritCat #AdopteeAlly #DisabilityRights #Pride",28760,3993,3376,59,"Cincinnati, Ohio",☮️ Margaret (she/her),margarchivist,15578,,,false
"77.19102783,28.5974128",Wed Apr 14 13:05:04 +0000 2021,,,http://dlvr.it/RxfLs1,0,1382318992409337856,,,,en,"नई दिल्ली, भारत",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",INNR — Women's employment situation worsened during Lockdown in urban Karnataka: It gives data for unemployment and employment of workers in different kinds of work for the urban parts of India. The much-awaited data shows the exact ... View article... https://t.co/3MAG0tOWhC,https://twitter.com/StigmabaseA/status/1382318992409337856,Sat May 29 17:26:03 +0000 2010,149585330,false,Australia - New Zealand — 日本語  — 中国 — 한국말 |  Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010.,0,2909,1275,139,Asia | Australia - Pacific,Stigmabase | ASIA,StigmabaseA,1550186,,https://www.stigmabase.org/,false
"121.1117,14.3113",Wed Apr 14 13:23:25 +0000 2021,SelfieNiBigNose WorkFromHome,,https://www.instagram.com/p/CNpd2-Lnx5s/?igshid=arcw215dael6,0,1382323609100689412,,,,en,"Lungsod ng Santa Rosa, Rehiyon ng CALABARZON",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","My mission in life is not merely to survive, 
but to thrive.👊

💯👌💯👌💯👌💯👌💯👌💯👌💯

#SelfieNiBigNose👃
#WorkFromHome🏡 @ Santa Rosa, Laguna https://t.co/lz93TL29Az",https://twitter.com/patchotXXV/status/1382323609100689412,Wed Sep 10 23:11:54 +0000 2014,2802580782,false,"TRAVELER,  DOG LOVER,  PERFECT LOVER💯👌",445,13,141,0,Alabang,Patrick Angelo Cloa,patchotXXV,821,,http://www.facebook.com,false
"-0.17988195,51.562662",Wed Apr 14 12:54:13 +0000 2021,picoftheday pictureoftheday Shotiniphone spring london lockdown GoHome,,https://www.instagram.com/p/CNpahFch2MB/?igshid=1m76hppcsbk01,0,1382316261728612352,,,,en,"Camden Town, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#picoftheday #pictureoftheday #Shotiniphone #spring #london #lockdown #GoHome 🤷🏼‍♂️🤔🤣 @ Hampstead, United Kingdom https://t.co/Aqon7gXT1X",https://twitter.com/juan_lacida/status/1382316261728612352,Mon Jun 21 11:28:12 +0000 2010,157967961,false,"Humanista, #tractorista, a veces fotógrafo y otras opinador desde el desconocimiento. #Valverdista #ciclismo. Living in #London #trainingfor42k #croquetaslover",12564,435,1257,23,"Londres, Inglaterra",Juanillo Lacida,juan_lacida,13032,,,false
"-83.6271,32.8376",Wed Apr 14 12:09:14 +0000 2021,,,https://www.instagram.com/p/CNpVXeEjOJK/?igshid=1jb4lpgm7he3r,0,1382304938588393478,,,,en,"Macon, GA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Hope everybody get to have the vaccine @ Macon, Georgia https://t.co/efNuw8HsW0",https://twitter.com/BestKnownAsGreg/status/1382304938588393478,Tue Dec 01 04:05:35 +0000 2015,4335907217,false,,105,15,138,0,"Georgia, USA",Fernandeise Fambles,BestKnownAsGreg,268,,,false
"77.60032028,12.95268745",Wed Apr 14 12:28:04 +0000 2021,Nifty Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/RxfDCr,0,1382309679133388803,,,,en,"Bengaluru South, India",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Future Wise | How will the second wave of COVID-19 affect your employment? https://t.co/Kjngs21N6U #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,https://twitter.com/sipgrab/status/1382309679133388803,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"-84.3889,33.7566",Wed Apr 14 12:12:21 +0000 2021,blameitonthevaccine,,https://www.instagram.com/p/CNpVWMGhUiA/?igshid=1dfbvwe9pyto6,2,1382305724286390274,,,,en,"Atlanta, GA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","VACCINE DAY!!! If I in any way seem strange or out of sorts #blameitonthevaccine @ Atlanta, Georgia https://t.co/ounn2GI0OA",https://twitter.com/IAMJSLOCUMB/status/1382305724286390274,Tue Feb 01 03:18:29 +0000 2011,245624274,false,Simply the BEST comedian/host EVER! . IG & Facebook @IAMJONATHANSLOCUMB,351,12528,4251,59,ER'WHERE!,JONATHAN SLOCUMB!,IAMJSLOCUMB,10598,,,false
"-73.47935661,45.6677507",Wed Apr 14 14:47:35 +0000 2021,,,http://dlvr.it/RxfmF0,0,1382344789480202240,,,,en,"Varennes, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma : Family dilemma Irish couple face mandatory hotel quarantine with newborn baby born by surrogate ...: Sinead Gallagher-Hedderman and her husband Mark are currently in the Ukraine following the birth of their baby boy Theo to a surrogate… https://t.co/JhFWNG0hGP,https://twitter.com/StigmabaseN/status/1382344789480202240,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951942,,https://www.stigmabase.org/,false
"-78.8529,35.732",Wed Apr 14 14:10:31 +0000 2021,co wfh microsoftlife,,https://www.instagram.com/p/CNpjP7zl8aT/?igshid=h1d6kysa8rec,0,1382335463311118339,,,,en,"Apex, NC",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","My #co-worker started snoring 💤 
#wfh #microsoftlife @ Apex, North Carolina https://t.co/Z3NKVjdYQE",https://twitter.com/PBradz/status/1382335463311118339,Fri Feb 22 15:30:40 +0000 2008,13822752,false,"Microsoft Customer Success Acct Mgr All Tweets are mine, just mine. 🥰Clouds☁️, Tech 👨🏻‍💻, Music 🎶, Beer 🍺, Bacon 🥓, Bourbon 🥃…in no order.",107808,1433,1322,244,"North Carolina, USA",👨🏻‍💻Phil Bradham 🇺🇸🇺🇦😷 2x💉+💉🙏🏻✌🏻,PBradz,44427,,http://pbradz.wordpress.com,false
"73.7861724,18.52252252",Wed Apr 14 13:44:51 +0000 2021,,,,0,1382329004649172998,muglikar_,1382287701722886144,2877839294,en,"बावधन, Haveli",,,0,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",@muglikar_ just heard from my doctor that the virus strain has changed hence the original vaccine may not be effective. Seems we might be back to ground zero.,https://twitter.com/knee_jerk/status/1382329004649172998,Sat Sep 11 19:13:47 +0000 2010,189615683,false,What does not kill you only makes you stronger to take more of the sh*t that tried to kill you in the first place. Don't get fooled people.,3197,276,3039,2,"Pune, India",Anil,knee_jerk,18056,,,false
"-84.51823046,39.08050537",Wed Apr 14 13:16:32 +0000 2021,,,,1,1382321878447034370,BrandonMusicKy,1382320696060182529,28871967,en,"Covington, KY",,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@BrandonMusicKy @victorerikray That’s a legit ethical question - but we have lots of doses of vaccines we have approved and those, given how many are being wasted each week, should go where there are arms",https://twitter.com/KYCara/status/1382321878447034370,Fri Jun 15 21:48:09 +0000 2012,609462982,false,"Kentucky*, bourbon, yoga & feminism are for everybody/ kynector/attorney/LMT #BBN #BLM #berea 
/ she series",27641,4293,1810,113,"Covington via Floyd County, KY",Cara Stewart,KYCara,121863,,,false
"-1.4700222,53.38085016",Wed Apr 14 11:34:33 +0000 2021,,https://twitter.com/LoveSheffieldUK/status/1382296213970587648/photo/1,https://sheff.info/3abQnsZ,0,1382296213970587648,,,,en,"Sheffield, England",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",'Mix and match' UK Covid vaccine trial expanded https://t.co/KbbU1TXpbw https://t.co/TuRLAJOLTY,https://twitter.com/LoveSheffieldUK/status/1382296213970587648,Fri Jun 27 11:10:45 +0000 2014,2591204906,false,"We ♥ Sheffield! The very best of Sheffield and South Yorkshire. Magazine, blogs, news, directory, reviews, events and your very own hyper-local social network!",858,888,521,15,"Sheffield, England",We ♥ Sheffield!,LoveSheffieldUK,23852,,http://www.welovesheffield.uk,false
"77.22217788,28.63213091",Wed Apr 14 12:08:34 +0000 2021,Nifty Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/Rxf9By,0,1382304773357989889,,,,en,"नई दिल्ली, भारत",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","GST collections to drop 20% in May due to state lockdown-like curfews, say experts https://t.co/Y9APBLOX5L #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",https://twitter.com/sipgrab/status/1382304773357989889,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"-74.65853012,40.34806771",Wed Apr 14 12:55:14 +0000 2021,,,https://www.instagram.com/p/CNpaoXvshHa/?igshid=1im5lmoog1ark,0,1382316515295395842,,,,en,"Princeton, NJ",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Weekly Covid test that permits me to work on site. @ Princeton University Grounds https://t.co/9u83ddwRtX,https://twitter.com/Capt_Barker/status/1382316515295395842,Sat Nov 05 23:37:56 +0000 2011,405896574,false,"Engineer, project manager, works on Fusion Reactors, talks too much about Star Wars and film. loves a good Reuben.",16322,402,681,24,"Canonsburg, PA",Bob Barker,Capt_Barker,16740,,https://www.facebook.com/robert.barker,false
"-89.35551665,43.13332853",Wed Apr 14 13:59:13 +0000 2021,workfromhome madisonwisconsin dadsofinstagram deathwishcoffee,,https://www.instagram.com/p/CNph9BOjJwN/?igshid=rutglu3an6el,0,1382332617333219334,,,,en,"Wisconsin, USA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Work from home hair #workfromhome #madisonwisconsin #dadsofinstagram #deathwishcoffee @ North Side, Madison https://t.co/ePcNYevNVQ",https://twitter.com/Shuaffenn/status/1382332617333219334,Tue Nov 08 01:54:38 +0000 2011,407416704,false,"I'm live on Twitch, come hang out! https://t.co/oFfZyDCOpC
Twitch Affiliate
Father of 4. Gamer. Human being.",934,292,1761,0,Wisconsin,Josh,Shuaffenn,1801,,,false
"-73.56725453,45.75975883",Wed Apr 14 13:47:36 +0000 2021,,,http://dlvr.it/RxfXQC,0,1382329697116123139,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma: Former Olympian warns of toll Covid-19 has taken on health in 'sports-mad' Ireland: IRELAND is on course for a devastating mental and physical health crisis thanks to the toll the COVID-19 pandemic is taking on this sports-mad nation. https://t.co/RUOprUZxr5,https://twitter.com/StigmabaseN/status/1382329697116123139,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951942,,https://www.stigmabase.org/,false
"80.28288778,13.0808304",Wed Apr 14 14:25:05 +0000 2021,Nifty Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/Rxfh7p,0,1382339129132740613,,,,en,"Fort Tondiarpet, India",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",CDC panel to debate use of J&amp;J Covid vaccine after rare blood clot issue affects 6 women https://t.co/FcpZfxaeGr #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,https://twitter.com/sipgrab/status/1382339129132740613,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"0.3455244,51.43151174",Wed Apr 14 14:48:15 +0000 2021,,,https://www.instagram.com/p/CNpnVg3nNVH/?igshid=al4rakw93dhv,1,1382344958451978244,,,,en,"Gravesend, South East",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","10 years ago I came to cover for someone for 8 weeks. Treated thousands of people in that time I think. Now to work from home. Thanks for having me northfleet, I’m only up the road if you need me https://t.co/MaPL25Ihek",https://twitter.com/sportsinjuryjoe/status/1382344958451978244,Wed Sep 19 02:19:33 +0000 2012,832354712,false,,255,64,90,2,kent,Joe Rodgers,sportsinjuryjoe,161,,http://www.jrodgers-sports-therapy.co.uk,false
