coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-0.694,52.05",Sat May 22 09:40:42 +0000 2021,astrazeneca covid_19 vaccinationdone,,https://www.instagram.com/p/CPK6k1ZjoY4/?utm_medium=twitter,2,1396038298972397574,,,,en,"Milton Keynes, England",false,,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🥊 Jab number Two 💉 Covid can do one !! 🦠 #astrazeneca #covid_19 #vaccinationdone✔️ @ Broughton, Milton Keynes https://t.co/N77xNqVY0b",https://twitter.com/mattyadams84/status/1396038298972397574,Mon Jan 31 22:57:08 +0000 2011,245542382,false,Single Dad - 38 - 🏳️‍🌈 Accepting of all - Except Tories you can get in the bin 🗑 Professional Wind up merchant,6664,429,418,11,"Milton Keynes, England",Matty,mattyadams84,19064,,,false
"-9.07055823,53.27927928",Sat May 22 10:48:08 +0000 2021,,,https://twitter.com/laoneill111/status/1396051131734925317,4,1396055270850240512,,,,en,"Galway, Ireland",false,1396051131734925317,0,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",This... why aren't mainstream media reporting this... scaremongering that's why. https://t.co/wCHiwt9jLQ,https://twitter.com/KBURKE1878/status/1396055270850240512,Mon Dec 06 18:35:10 +0000 2010,223558456,false,UP THE FUCKING TOFFEES!!,352,3486,3057,61,Ireland ,kb,KBURKE1878,53934,,,false
"-73.56726563,45.63697547",Sat May 22 09:34:32 +0000 2021,,,http://dlvr.it/S0B1Fy,0,1396036747981729794,,,,en,"Montréal, Québec",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma — Selective Hiring Of 'Dom' Caste Amid Pandemic In West Bengal: The Casteist Attack On The ...: are entitled to be treated in society as human beings without any stigma being attached to any of them.The judgment was in line of the… https://t.co/4IMMT062ED,https://twitter.com/stigmabase/status/1396036747981729794,Wed Sep 01 21:06:16 +0000 2010,185789961,false,Dedicated to Education | Keeping up-to-date on global exclusion — Serving the truth — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,962,689,71,Worldwide,STIGMABASE | EDU,stigmabase,820347,,https://www.stigmabase.org/,false
"77.22217788,28.63213091",Sat May 22 08:34:03 +0000 2021,Nifty Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/S09t1w,0,1396021527133310979,,,,en,"नई दिल्ली, भारत",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Bengaluru: Four thousand COVID-19 patients died in just 20 days of May https://t.co/8kkOgbxYVu #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,https://twitter.com/sipgrab/status/1396021527133310979,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"74.81180802,34.097859",Sat May 22 07:55:34 +0000 2021,one_plus_9r staysafe stayhome,,https://www.instagram.com/p/CPKuiwzFW2r/?utm_medium=twitter,0,1396011843668389890,,,,en,"अनंतनाग, जम्मू और कश्मीर",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#one_plus_9r 
ONE PLUS 9R Delivered at customer’s doorstep 
#staysafe #stayhome 

Call us we’ll be there @ Technopark Multi Range Store https://t.co/Ngo4Ij2G4M",https://twitter.com/technopark111/status/1396011843668389890,Tue Nov 03 16:34:33 +0000 2020,1323664826560770052,false,deals in all brands of mobile  phones’’tablets and laptops                call on 9906427629  9419097076,1323,93,189,0,"Nowhatta, Jammu And Kashmir",TECHNOPARK111,technopark111,758,,,false
"-73.99297266,40.7505587",Sat May 22 10:21:02 +0000 2021,,,https://www.instagram.com/p/CPK_McNHtiyB-7nrWRp5Sy8CUM9a6J16u5Tl5c0/?utm_medium=twitter,0,1396048452140871682,,,,en,"Manhattan, NY",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",This is my proud Husband moment. Winning 3 top awards is not an easy feat. You did this during the pandemic year. You deserve all the awards and recognition you're getting now. We love you. 👑 https://t.co/kV5gMEERVC,https://twitter.com/tantan8bits/status/1396048452140871682,Wed Apr 08 20:12:38 +0000 2009,29807821,false,"(7449A929) Even snakes are afraid of snakes,I make Crop Circles, I have Alien Hand Syndrome, Bearer of the Number 2 Headband, I'm cheating on you...KONAMI CODE!",408,302,976,3,Waiting outside your door...  ,Tan² Edaño,tantan8bits,3525,,http://www.facebook.com/tantan348,false
"77.60032028,12.95268745",Sat May 22 07:24:04 +0000 2021,Nifty Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/S09lqS,0,1396003914785329152,,,,en,"Bengaluru South, India",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Coronavirus India News LIVE Updates: More than 1.6 crore COVID-19 vaccine doses still available with states and UTs, says health ministry https://t.co/BGRup2LJhn #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",https://twitter.com/sipgrab/status/1396003914785329152,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"-75.1651,39.9527",Sat May 22 10:56:05 +0000 2021,,,https://www.instagram.com/p/CPLDNJjjWDg/?utm_medium=twitter,0,1396057272221118464,,,,en,"Philadelphia, PA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","This one leaf has doubled its growth this spring....it's time for us to do the same post pandemic! @ Philadelphia, Pennsylvania https://t.co/LfiAagxIql",https://twitter.com/robmarchesani/status/1396057272221118464,Wed Dec 09 03:31:14 +0000 2009,95566976,false,I am a psychoanalyst in New York City and Philadelphia specializing in adolescence and parent-child relationships.,488,233,1012,0,New York,Rob Marchesani,robmarchesani,1449,,https://www.psychologytoday.com/us/therapists/rob-marchesani-new-york-ny/71368,false
"-84.33619,33.92621",Sat May 22 04:57:47 +0000 2021,stayhome staycation om namaste namastê notraffic trafficfree atlantatraffic home,,https://www.instagram.com/p/CPKZ_AoBXFa/?utm_medium=twitter,0,1395967101874102273,,,,en,"Dunwoody, GA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Here’s to a no traffic weekend. Namaste home. #stayhome #staycation #om #namaste #namastê #notraffic #trafficfree #atlantatraffic #home @ Dunwoody, Georgia https://t.co/EpVAK2M3Jr",https://twitter.com/Jeffersonross/status/1395967101874102273,Thu Apr 02 03:07:12 +0000 2009,28268530,false,,3280,820,917,94,"Atlanta, GA",jefferson ross,Jeffersonross,10458,,http://jeffersonross.com,false
"-73.56725453,45.75975883",Sat May 22 11:34:38 +0000 2021,,,http://dlvr.it/S0BFSg,0,1396066974245875714,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma: 'Serious concerns' over rapid increase of Covid cases in Limerick: Subscribe. More from The Irish Times. Health · People with Covid-19 symptoms urged to arrange a PCR test at the Limerick ... https://t.co/ag3ukI4m7W,https://twitter.com/StigmabaseN/status/1396066974245875714,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951942,,https://www.stigmabase.org/,false
