coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-1.1395,53.5225",Mon May 31 09:52:36 +0000 2021,,,https://www.instagram.com/p/CPiHF-oJlxZ/?utm_medium=twitter,1,1399302783581446150,,,,en,"Doncaster, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Forget COVID-19 this mask is so minging right now that I feel I’m gonna come down with a case leprosy from it! @ Doncaster railway station https://t.co/JuZN6HUykb,https://twitter.com/mozi78/status/1399302783581446150,Wed Jan 13 21:01:38 +0000 2010,104604564,false,Grimsby/Cleethorpes gent living life in Birmingham... sometimes seen in other places! retrosexual.I also spend a lot of time with @biteyourbrum,12728,845,746,22,birmingham,Ian McEwan 💙,mozi78,23162,,https://music.apple.com/gb/playlist/now-29-35/pl.u-mJRjBsJr4me,false
"101.7105,3.1588",Mon May 31 11:03:33 +0000 2021,,,https://www.instagram.com/p/CPiPNqOp525/?utm_medium=twitter,1,1399320640495226883,,,,en,"Bandar Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Total lockdown starts tomorrow. Stay safe everyone. @ Kuala Lumpur, Malaysia https://t.co/PWWuLVu6d4",https://twitter.com/azizimusa_/status/1399320640495226883,Fri Mar 23 08:30:24 +0000 2012,534045356,false,"Photographer, Digital Creator #NFTphotographyMY",35189,12703,1001,41,"Kuala Lumpur, Malaysia",𝙖𝙯𝙞𝙯𝙞𝙢𝙪𝙨𝙖,azizimusa_,105397,,https://azizimusa.carrd.co,false
"121.05171119,14.54791102",Mon May 31 10:18:43 +0000 2021,birthday surprise godsister lockdown celebration,,https://www.instagram.com/p/CPiKFPinHtW/?utm_medium=twitter,0,1399309355875541000,,,,en,"Lungsod ng Makati, Pambansang Punong Rehiyon",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","What’s a #birthday without a #surprise from our #godsister, Elliza?! Held in the parking lot, no less!!! Huwaw! Thank you so much for brightening my Iksnik’s second #lockdown #celebration! 🤗🎂 https://t.co/ufvOCjEm3V",https://twitter.com/RobbieGuevara/status/1399309355875541000,Mon Aug 30 15:14:40 +0000 2010,184816471,false,Director.Actor.Producer.Editor,434,1227,301,24,Maniler,Robbie Guevara,RobbieGuevara,15341,,http://www.9workstheatrical.com,false
"75.3674999,11.87632697",Mon May 31 05:25:07 +0000 2021,kerala india tobacco day instagram kannur eyewear covid_19 sunglasses,,https://www.instagram.com/p/CPhoIwrFU3W/?utm_medium=twitter,1,1399235470937165824,,,,en,"कन्नूर-पदनापलम-तलप, भारत",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Say NO to Tobacco.

#kerala #india #tobacco #day #instagram #kannur #eyewear #covid_19 #sunglasses @ Nayanam Opticals &amp; Eye Clinic https://t.co/4TbRspMe3n",https://twitter.com/Nayanamopticals/status/1399235470937165824,Thu Aug 08 03:39:59 +0000 2019,1159308247322353665,false,Sunglasses | Eyeglasses | Prescription Sunglasses | Contact Lenses ☎️ 0497-2705613 📞 +91 9447366666,0,8,0,0,Kannur,Nayanam Opticals & Eye Clinic,Nayanamopticals,162,,http://www.nayanamopticals.com,false
"125.021,11.2036",Mon May 31 06:10:34 +0000 2021,OhMando TheGuyInWhite StayAtHome HomeAloneTheMe,,https://www.instagram.com/p/CPhtruoB18K/?utm_medium=twitter,0,1399246907864666112,,,,en,"Lungsod ng Tacloban, Rehiyon ng Silangang Visayas",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cooling down with mais con yelo while watching #OhMando . ☺️❤️ @alexandermcdizz @iwanttfc @kkydsnts @msbarbieimperial 

#TheGuyInWhite #StayAtHome #HomeAloneTheMe @ San Jose, Tacloban, Philippines https://t.co/W2BwkgA3I9",https://twitter.com/hanzfreed/status/1399246907864666112,Tue Jun 22 17:27:08 +0000 2010,158428201,false,Optimist . Bubbly . Typhoon Haiyan Survivor . Certified Potterite . Frustrated Singer . Registered Nurse aspiring to be a Magazine Editor-in-Chief . . . ┣▇▇▇═─,565,97,745,6,"Tacloban City, Philippines",Jobo Condes,hanzfreed,3897,,http://jobofreeman.blogspot.com,false
"-0.1094,51.5141",Mon May 31 07:45:45 +0000 2021,,,https://www.instagram.com/p/CPh4k5hAKuL/?utm_medium=twitter,0,1399270861115437058,,,,en,"City of London, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Out n about in London, trying to look cute and fun.  Wearing my @itsakittensworldstore  mask, so comfortable thankfully as it’s required wear still in the UK and we expect it will be for a while. @ London, United Kingdom https://t.co/JI9dDDW6tN",https://twitter.com/cfortlage/status/1399270861115437058,Mon Apr 13 14:41:22 +0000 2009,30876481,false,Award Winning Gender Identity Speaker & Consultant. Addressing gender diversity Issues #AcceptancewithoutUnderstanding Board @OutRightIntl @adaptista,1689,2930,1989,230,"London, England",cfortlage,cfortlage,8303,,http://www.cynthiafortlage.com,false
"72.9097582,19.00117717",Mon May 31 08:19:04 +0000 2021,Sipgrab UnitingPeopleWithThePossibilities,,http://dlvr.it/S0m2p9,0,1399279245642240002,,,,en,"मुंबई, भारत",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","OECD raises growth forecasts on vaccine rollouts, U.S. stimulus https://t.co/qJqde8T1Jy #Sipgrab #UnitingPeopleWithThePossibilities",https://twitter.com/sipgrab/status/1399279245642240002,Tue Feb 28 12:12:15 +0000 2017,836549573048848384,false,Wealth management firm| Option Trading Expert | Option Strategy maker| 360° financial planner | compelete range of financial products | Market buzz updater!!,272,267,94,2,"Bengaluru, India",SipGrab,sipgrab,43338,,http://www.Sipgrab.com,false
"-122.40852,37.7783",Mon May 31 05:35:01 +0000 2021,,,https://www.instagram.com/p/CPhpnQLh-UD/?utm_medium=twitter,0,1399237962425159683,,,,en,"San Francisco, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Beautiful light today as we prepare to reopen @theboxsfevents after 15 long months of forced Pandemic  closures! 🙏❤️🙏 @ The Box SF https://t.co/eq7XlPS16L,https://twitter.com/TheBoxSFevents/status/1399237962425159683,Sat Jan 09 07:08:54 +0000 2010,103207643,false,We are a historic corporate events and meeting venue in San Francisco. Call 415-934-6900 with any questions or to book! Follow our store at: @theboxsf,297,906,0,177,San Francisco,The Box SF Event Space,TheBoxSFevents,4549,,http://theboxsf.com,false
"-118.49227,34.01158",Mon May 31 08:56:24 +0000 2021,covid_19 Masks,,https://www.instagram.com/p/CPiAqXzBjt5/?utm_medium=twitter,0,1399288641420152833,,,,en,"Santa Monica, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Keep your mask handy. Someone you meet may be immunodeficient. Vaccines don't prevent you 100% from getting #covid_19. They just prevent you from having a bad case of it. #Masks @ Santa Monica, California https://t.co/6yx7yamlVK",https://twitter.com/AnneLinstatter/status/1399288641420152833,Mon Nov 15 04:46:11 +0000 2010,215878261,false,writing/reading on women and religion ~ working for equal rights ~ Christian recovering the Jewish roots of my faith,10824,581,2114,26,"Santa Monica, CA",Anne Linstatter,AnneLinstatter,12517,,http://annelinstatter.com/,false
"144.58297,-37.68326",Mon May 31 06:43:46 +0000 2021,netball netballcourt athlete fun lockdown lucky grateful,,https://www.instagram.com/p/CPhxe8mLE8x/?utm_medium=twitter,0,1399255263161597952,,,,en,"Melton, Victoria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thankfully that I can still use these netball courts during lockdown 
.
.
.
.
.
#netball #netballcourt #athlete #fun #lockdown #lucky #grateful @ Melton, Victoria https://t.co/OPYoFob56O",https://twitter.com/MariaRose_13/status/1399255263161597952,Sun Jun 08 02:37:15 +0000 2014,2553713430,false,Professional Squash Player. Sport Journalist student.,43,91,518,1,Melbourne Australia,Maria-Rose Kalafatis,MariaRose_13,984,,https://www.instagram.com/maria_rose.k27/,false
