coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-2.72181579,53.3412149",Sun Aug 29 14:09:33 +0000 2021,,,https://www.instagram.com/p/CTKUCxzjbtdXuyhgL9t9zrtFDZMG0kdG5NaSAw0/?utm_medium=twitter,0,1431982356185829381,,,,en,"Runcorn, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Big Fun making a comeback for Cameron's 18th @ The Lockdown Pub &amp; Kitchen https://t.co/3i5JTJLGQK,https://twitter.com/colin_neil_show/status/1431982356185829381,Sat Jan 15 16:03:19 +0000 2011,238614102,false,"Social commentary without judgement. LiverpoolFC YNWA, Sport, Travel, Dr Who, Star Trek, Stanger Things, Eurovision, R2 Popmaster winner, Geek. Views own.",17982,772,989,28,Liverpool ,TheColin&NeilShow,colin_neil_show,17525,,,false
"13.1199934,52.381905",Sun Aug 29 06:45:32 +0000 2021,nowplaying FifthHarmony bbradio rockt brandenburg,,,0,1431870614873251842,,,,en,"Potsdam, Deutschland",,,0,,,"<a href=""http://www.bbradio.de"" rel=""nofollow"">BB RADIO Music App</a>",#nowplaying #FifthHarmony ~ Fifth Harmony | Work From Home ||| #bbradio #rockt #brandenburg,https://twitter.com/_BB_RADIO_MUSIC/status/1431870614873251842,Tue Jun 29 10:26:00 +0000 2010,160874621,false,BB RADIO is one of the leading radio stations in Berlin and Brandenburg in Germany.,2,2587,1711,176,"Germany, Potsdam",BB RADIO Playlist,_BB_RADIO_MUSIC,995945,,http://www.bbradio.de,false
"144.9626,-37.8432",Sun Aug 29 11:43:58 +0000 2021,lockdown6 melbourne Sunday djlife staysafe stayathome,,https://www.instagram.com/p/CTKDYjFFSzJ/?utm_medium=twitter,1,1431945718453964804,,,,en,"Melbourne, Victoria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","No new travels pics to share so this will have do 🤷‍♀️

#lockdown6 #melbourne #Sunday #djlife #staysafe #stayathome @ Albert Park, Victoria https://t.co/Lc198jmQxQ",https://twitter.com/monicajudemusic/status/1431945718453964804,Mon Sep 07 14:27:31 +0000 2009,72292206,false,play good music and you will dance,58,296,58,9,Bondi Beach,Monica Jude,monicajudemusic,1356,,http://www.monicajude.com,false
"144.91091925,-37.74980448",Sun Aug 29 10:06:48 +0000 2021,sundaysaint tightywhities languid,,https://www.instagram.com/p/CTJ4Q2GnPPO/?utm_medium=twitter,0,1431921266899005441,,,,en,"Melbourne, Victoria",true,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Not suffering but being admired in your jocks on a languid lockdown Winter's Sabbath. #sundaysaint  #tightywhities  #languid @ Essendon, Victoria, Australia https://t.co/YgzuaML4y2",https://twitter.com/EurekaHanlon/status/1431921266899005441,Mon Dec 14 21:45:46 +0000 2020,1338600991948607489,false,Queer Artist Activist,8833,176,329,3,,Eureka (Michael O'Hanlon),EurekaHanlon,839,,,false
"-73.8627,40.749865",Sun Aug 29 04:57:37 +0000 2021,7Line,,http://511ny.org/EventDetails/TRANSCOM/ORT200179393,0,1431843459409891328,,,,en,"Queens, NY",false,,0,,,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>",Incident on #7Line WB at 103 St - Corona Plaza https://t.co/Mw03srKPCN,https://twitter.com/511NY/status/1431843459409891328,Thu Jun 25 17:22:38 +0000 2009,50706690,false,Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.,0,3678,193,251,New York State,511 New York,511NY,5560421,,http://twitter.511ny.org,false
"106.8284905,-6.36695106",Sun Aug 29 13:40:15 +0000 2021,yoga garmin anakgarmin,,https://www.instagram.com/p/CTKQsM8BTxd/?utm_medium=twitter,0,1431974984625180672,,,,en,"Beji, Indonesia",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Haven’t met these beautiful girls for almost two years since pandemic and now we’ve just made it 😘
#yoga #garmin #anakgarmin @ Universitas Indonesia https://t.co/yL2xnqofUA",https://twitter.com/rinnieva/status/1431974984625180672,Sun Mar 28 13:40:38 +0000 2010,127220125,false,,391,4,221,0,Jakarta,Rini,rinnieva,1052,,,false
"174.761627,-36.843141",Sun Aug 29 06:07:16 +0000 2021,NZCovidAUK,,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-health-advice-public/contact-tracing-covid-19/covid-19-contact-tracing-locations-interest,24,1431860987947151360,,,,en,"Auckland, New Zealand",false,,5,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">NZ Covid-19 Locations Bot</a>","New location: Headquarters Bar, 115 Customs Street West, Auckland Central, Auckland 1010 on Saturday, August 14 11:30 pm - 1:30 am #NZCovidAUK https://t.co/xjwphFJmiY",https://twitter.com/NZCovidLocs/status/1431860987947151360,Sun Jan 03 02:39:17 +0000 2021,1345560280252645382,false,"Sorry, this project is discontinued. Please use the official link below.",29,3146,6,18,,NZ Covid-19 Locations,NZCovidLocs,2683,,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-health-advice-public/contact-tracing-covid-19/covid-19-contact-tracing-locations-interest,false
"-0.1094,51.5141",Sun Aug 29 08:46:47 +0000 2021,merch Monday socialscience covid19 podcast podcastersofinstagram covid,,https://www.instagram.com/p/CTJvF7LDiJs/?utm_medium=twitter,0,1431901130917822464,MondayScience,,1005861634386980900,en,"City of London, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","@mondayscience #merch out on #Monday along with part II episode with Professor Rubin @roskildeuniversitet talking about the role of #socialscience in the response to #covid19 
.
.
#podcast #podcastersofinstagram #covid https://t.co/ZfzqmHs0zt",https://twitter.com/DrBahijjaRaimiA/status/1431901130917822464,Tue Aug 16 09:26:18 +0000 2011,356077722,false,Award winning Scientist | #Research @RaimiAbrahamGrp🧪| Founder @KingsFtF💊 @steamed_col 🧬 🖼 | @MondayScience_ (& host) #podcast 🎙| Views my own| 🦹🏾‍♀️,21822,1503,1110,64,London,Dr Bahijja Raimi-A,DrBahijjaRaimiA,12168,,http://www.BahijjaRaimiAbraham.com,false
"-121.494,38.5816",Sun Aug 29 13:15:24 +0000 2021,,,https://apnews.com/article/health-california-coronavirus-pandemic-ba3873423870826382836cbb4244a6c2,0,1431968729907220480,,,,en,"Sacramento, CA",false,,0,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">heapevents.info</a>","Health California Coronavirus Pandemic ☝ 😐 
 https://t.co/TJD1oV42rD",https://twitter.com/heapevents/status/1431968729907220480,Sat Jan 09 15:58:46 +0000 2021,1347935690332495877,false,just heap of US events,0,7,25,1,,heapevents.info,heapevents,21294,,https://www.heapevents.info/,false
"79.84480884,6.92743491",Sun Aug 29 13:41:52 +0000 2021,,,https://www.instagram.com/p/CTKQ326h_d2/?utm_medium=twitter,0,1431975388750643200,,,,en,Sri Lanka,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Scary nights 👻
During lockdown😶
.
.
Follow us on
Instagram:- flymesl_
Facebook:- flymesl
Twitter:- FlymeSL
Youtube:- FlymeSL
Pinterest:- FlymeSL @ One Galle Face https://t.co/PYi1E1TGXo",https://twitter.com/FlymeSl/status/1431975388750643200,Mon Dec 02 06:04:05 +0000 2019,1201381433341661184,false,Partner for your Dream Destination💟,1,5,1,0,Sri Lanka,FlymeSL,FlymeSl,120,,,false
