coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-0.40833296,51.65153928",Sat Sep 25 09:33:37 +0000 2021,,,https://www.instagram.com/p/CUPV7G8q1Wr/?utm_medium=twitter,11,1441697390071746569,,,,en,"Watford, East",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",I am very proud of my husband.  Today he completed his first park run since testing positive for Covid in January! @ West Watford https://t.co/LU4lfL5eqD,https://twitter.com/sarajanetrebar/status/1441697390071746569,Mon Jan 05 14:31:31 +0000 2015,2962167454,false,"Labour councillor for Vicarage Ward Watford & resident. ♥️🌹
Allotment warrior 👩‍🌾
Lancashire lass 🧀 loving life in Watford 🏟 (via Italy🇮🇹)",21823,963,1783,14,Watford,Sara Jane Trebar,sarajanetrebar,8990,,,false
"-123.12721877,49.28248253",Sat Sep 25 06:02:04 +0000 2021,,,http://dlvr.it/S8Hw7N,0,1441644150806355972,,,,en,"Vancouver, British Columbia",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AUZGMT — Risk of severe illness from COVID‐19 among Aboriginal and Torres Strait Islander adults: Within Australia, Aboriginal and Torres Strait Islander peoples are more likely than non-Indigenous people to experience poor health, including increased… https://t.co/fhGGvLghYa",https://twitter.com/StigmabaseO/status/1441644150806355972,Thu Apr 29 13:56:48 +0000 2010,138418838,false,Americas — United Kingdom  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,4143,3742,262,Americas | United Kingdom,Stigmabase | ORG,StigmabaseO,1828864,,https://www.stigmabase.org/,false
"27.09466689,-25.3431054",Sat Sep 25 09:41:12 +0000 2021,trouble happy love forever,,https://www.instagram.com/p/CUPWy_FM1-I/?utm_medium=twitter,6,1441699298802999297,,,,en,South Africa,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","5 years, bigger babies, more tattoos, global pandemic, but life is still amazing! 😎 #trouble #happy #love #forever @ Sun City, South Africa https://t.co/7UoO5KvvkG",https://twitter.com/warrendt/status/1441699298802999297,Wed Jan 21 05:50:43 +0000 2009,19278076,false,"I live, I love and I try to be good at both :) Proud Father, CSA at @Microsoft, Open-Source Enthusiast, Apple Junkie and lover of Technology",1452,660,1153,20,South Africa,Warren du Toit,warrendt,9716,,http://www.waza.co.za,false
"145.28391721,-37.7718635",Sat Sep 25 08:07:49 +0000 2021,MightyWest aflgrandfinal,,https://www.instagram.com/p/CUPMG2opi4pdiMNIu7bFYu1Jb1bz07dYGrrGTk0/?utm_medium=twitter,0,1441675796687429633,,,,en,"Melbourne, Victoria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GF Day scenes in lockdown… So strange being locked up at home on such a momentous day for our mighty club. Come on Dogs, we’re there with you in spirit! #MightyWest #aflgrandfinal ❤️🤍💙🙏🏼 https://t.co/VncHGKPXsb",https://twitter.com/RueVictoria/status/1441675796687429633,Mon Jan 30 09:43:05 +0000 2012,478468511,false,"❤️🤍💙 Wife of @delaruehs ; mother; teacher. Love my family, my football (Go Dogs!), my miniature dachshund, Trevor; and good food & wine.",10281,125,658,2,"Melbourne, Australia",Victoria De La Rue,RueVictoria,6861,,,false
"-73.845093,40.74635",Sat Sep 25 15:49:37 +0000 2021,,,https://www.swarmapp.com/c/9hwJz21PWhM,0,1441792010449424385,,,,en,"Queens, NY",false,,0,,,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","I'm at Flushing Meadows Corona Park - @nycparks in Queens, NY https://t.co/XIPTp6OxMN",https://twitter.com/stephenaaron05/status/1441792010449424385,Thu Oct 08 08:00:48 +0000 2009,80796466,false,"...that lil' voice in your head that's saying what the hell? o_O

https://t.co/lK9Z0iILEn",250,213,273,18,"Queens, NY",Stephen Aaron Dupaya,stephenaaron05,29213,,http://www.facebook.com/stephendupaya,false
"151.20797,-33.86751",Sat Sep 25 05:45:03 +0000 2021,,,https://www.instagram.com/p/CUO7xVmPDyO/?utm_medium=twitter,0,1441639866853253125,,,,en,"Sydney, New South Wales",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","I’m using the COVID lockdown as an opportunity to update my website - check it out @ Sydney, Australia https://t.co/hMcHWlUPad",https://twitter.com/robcinoz/status/1441639866853253125,Tue Sep 11 13:16:25 +0000 2012,817410530,false,I work in IT in Australia and love photography but my true passion is Christ. He has given me a heart to live for Him.,365,271,59,4,Australia,Rob Corner,robcinoz,954,,https://www.robcornerphotography.com.au,false
"114.18868787,22.30141951",Sat Sep 25 06:10:50 +0000 2021,,,https://www.instagram.com/p/CUO-jDPjVM8saSdnRkxdf4OYcl560mhVT-q5Fg0/?utm_medium=twitter,0,1441646355483529221,,,,en,"九龍城, 香港",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Quarantine hotel view @ Kerry Hotel Hong Kong https://t.co/ITGPy31xVY,https://twitter.com/AdrianMowat/status/1441646355483529221,Fri Oct 20 03:56:53 +0000 2017,921223672416702464,false,EM strategist investor trainee pilot slow paddler,117,194,101,1,Hong Kong,Adrian Mowat,AdrianMowat,105,,,false
"145.07125,-37.75875",Sat Sep 25 07:07:38 +0000 2021,,,https://www.instagram.com/p/CUPFOQkFi6f/?utm_medium=twitter,0,1441660649491374080,,,,en,"Melbourne, Victoria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Lockdown walk along the Yarra @ Warringal Park https://t.co/4BY0HsWtVd,https://twitter.com/dweeding/status/1441660649491374080,Tue Sep 22 05:19:13 +0000 2009,76258039,false,Mendacious,18512,99,283,11,Melbourne,David Weeding,dweeding,3343,,http://notreallyanythinglikeablog.blogspot.com.au,false
"-113.999427,51.071013",Sat Sep 25 08:02:18 +0000 2021,covid covidgirls cute,,https://www.instagram.com/p/CUPLefVLS--/?utm_medium=twitter,0,1441674407445946368,,,,en,"Calgary, Alberta",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",#covid #covidgirls #cute @ Sheraton Four Points Hotel https://t.co/nJuEVH4LnC,https://twitter.com/AlexSasha17/status/1441674407445946368,Mon Apr 29 21:32:29 +0000 2013,1390525765,false,I am in Canada. I compose some nice music. Like Depeche Mode J Timberlake.I would go 50/50 with to help make OUR music (Keyboard or Computer) My you be blessed,92,32,304,1,Canada,Alex Sasha,AlexSasha17,288,,http://Canadacarsales.om,false
"110.3518226,1.55783277",Sat Sep 25 11:35:12 +0000 2021,EPL,,https://www.instagram.com/p/CUPj1yAvCLR/?utm_medium=twitter,0,1441727986256912388,,,,en,"Kuching, Sarawak",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Going out from quarantine tomorrow but before that, let me enjoy some #EPL 🤣🤣 @ The Official Page of Riverside Majestic Hotel Kuching https://t.co/scoINBnOPG",https://twitter.com/Unnamezz/status/1441727986256912388,Sat Dec 26 13:11:04 +0000 2009,99499237,false,Sleeping~,1340,162,2159,6,Malaysia,ChokThin,Unnamezz,2431,,,false
