coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"126.98244019,37.54274326",Fri Nov 26 06:06:02 +0000 2021,,,http://dlvr.it/SDCzSN,0,1464113195598037002,,,,en,대한민국 용산구,false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","KRNR — Why Has North Korea Struggled to Normalize Trade With China?: Since North Korea slammed its borders shut in the initial stage of the pandemic, it has made several motions toward resuming normal trade. View article... https://t.co/u9OyohY32K",https://twitter.com/StigmabaseU/status/1464113195598037002,Tue Oct 26 15:04:54 +0000 2010,208056970,false,Asia — भारत  — Türkçe — Čeština — ελληνικά | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,2528,2405,117,WORLDWIDE,Stigmabase | UN,StigmabaseU,1607141,,https://www.stigmabase.org/,false
"174.858398,-36.914764",Fri Nov 26 16:12:46 +0000 2021,Torment_Planet_Has_Neared,,,1,1464265885586235392,,,,en,"Auckland, New Zealand",,,2,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Hedaya</a>","and we said it is a blessing in disguise thinking that Coronavirus has solved the issue of global warming which the Paris climate agreement conference could not find a solution for
Imam Nasser Mohammed Al-Yamani
14-10-2021
20
#Torment_Planet_Has_Neared
KQA=9I",https://twitter.com/salimthehadj/status/1464265885586235392,Fri Jun 26 17:55:26 +0000 2020,1276574785292636160,false,"If you want to be born again Welcome to:
https://t.co/ZI5E1hlzaV
ps: Each language has its own section in the website",60,139,11,0,,salim hadj,salimthehadj,4264,,https://mahdialumma.com/,false
"174.858398,-36.914764",Fri Nov 26 16:11:46 +0000 2021,Torment_Planet_Has_Neared,,,0,1464265632543825925,,,,en,"Auckland, New Zealand",,,2,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Hedaya</a>","Perhaps a questioner would like to say: ""Yes, Coronavirus has come by the end of 2019 and the whole world has been quarantined at the beginning of 2020.
Imam Nasser Mohammed Al-Yamani
14-10-2021
19
#Torment_Planet_Has_Neared
=eooFG",https://twitter.com/salimthehadj/status/1464265632543825925,Fri Jun 26 17:55:26 +0000 2020,1276574785292636160,false,"If you want to be born again Welcome to:
https://t.co/ZI5E1hlzaV
ps: Each language has its own section in the website",60,139,11,0,,salim hadj,salimthehadj,4264,,https://mahdialumma.com/,false
"-0.3613924,52.03542044",Fri Nov 26 12:02:29 +0000 2021,,,https://www.instagram.com/p/CWvQPoAoto9/?utm_medium=twitter,0,1464202897625784329,,,,en,"Chicksands, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Todays hot date is brought to you courtesy of the COVID booster. 💉🩸💊 @ Central Beds Council Offices https://t.co/impoe0cQBR,https://twitter.com/hhill67/status/1464202897625784329,Fri Jun 26 15:01:21 +0000 2009,51089237,false,"Cosmetic science and perfumery is how I make my living. Past President of British Society of Perfumers. I love family, cooking, cats and I have the best friends",2777,499,781,27,United Kingdom,Helen,hhill67,5623,,,false
"174.858398,-36.914764",Fri Nov 26 15:01:15 +0000 2021,Torment_Planet_Has_Neared,,,0,1464247889203548167,,,,en,"Auckland, New Zealand",,,1,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Hedaya</a>","the mass lockout in the world due to Corona has made major countries know that the global warming did not happen because of factories but because of another reason which they hide
Imam Nasser Mohammed Al-Yamani
14-10-2021
70
#Torment_Planet_Has_Neared
m2B7g/",https://twitter.com/abolilya_1_17_5/status/1464247889203548167,Sat Apr 03 16:20:21 +0000 2021,1378381822103523332,false,"‏https://t.co/2VJ9kqlCpG‎
مرحبا بكم في
موقع الإمام المهدي المنتظر ناصر محمد اليماني، منتديات البشرى الإسلامية والنبإ العظيم",1396,144,58,1,,abolilya_1_17_5,abolilya_1_17_5,7223,,https://mahdialumma.com/,false
"16.373064,48.20833",Fri Nov 26 16:40:23 +0000 2021,lipscombinvienna,,https://www.instagram.com/p/CWvwDH8MOCe/?utm_medium=twitter,0,1464272833723482117,,,,en,"Wien, Österreich",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Finished pre lockdown with a trip to the Christmas markets. Had a most wonderful Thanksgiving meal and semester celebration with the group, and was blessed with some early snow today!  #lipscombinvienna @ Vienna https://t.co/lpCLhDCwHJ",https://twitter.com/surdacki/status/1464272833723482117,Sun May 04 04:31:17 +0000 2008,14644686,false,"If i could distill who I am down to 140 characters, would you really want to follow me?",1699,1087,1154,25,"Franklin, TN",Walter Surdacki,surdacki,4787,,http://www.surdacki.net,false
"174.858398,-36.914764",Fri Nov 26 16:26:23 +0000 2021,Torment_Planet_Has_Neared,,,6,1464269310654828545,,,,en,"Auckland, New Zealand",,,14,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Hedaya</a>","and we said it is a blessing in disguise thinking that Coronavirus has solved the issue of global warming which the Paris climate agreement conference could not find a solution for
Imam Nasser Mohammed Al-Yamani
14-10-2021
20
#Torment_Planet_Has_Neared
%574h/",https://twitter.com/abdenaim_1_17_4/status/1464269310654828545,Sun Mar 21 19:15:23 +0000 2021,1373714647736586242,false,"‏‏‏‏‏https://t.co/JV8muILVha‎‎‎‎‎
‏منتديات البشرى الاسلامية و النبأ العظيم",1594,220,94,0,,abdenaim_1_17_4,abdenaim_1_17_4,7205,,http://www.mahdialumma.com,false
"77.19102783,28.5974128",Fri Nov 26 14:07:07 +0000 2021,,,http://dlvr.it/SDFDbK,0,1464234264728260610,,,,en,"नई दिल्ली, भारत",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","INNR — How important it is to improve women's healthcare amid the pandemic: Any kind of regular exercise like yoga, aerobics, and even regular household work like cleaning, gardening or even playing with children helps in ... View article... https://t.co/UCpetlU8X4",https://twitter.com/StigmabaseA/status/1464234264728260610,Sat May 29 17:26:03 +0000 2010,149585330,false,Australia - New Zealand — 日本語  — 中国 — 한국말 |  Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010.,0,2908,1275,139,Asia | Australia - Pacific,Stigmabase | ASIA,StigmabaseA,1550438,,https://www.stigmabase.org/,false
"174.858398,-36.914764",Fri Nov 26 16:36:47 +0000 2021,Torment_Planet_Has_Neared,,https://www.mahdialumma.net/showthread.php?p=362934,0,1464271930945675266,,,,en,"Auckland, New Zealand",false,,0,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Hedaya</a>","And until now you were not able to know from where did Allah invade you with Coronavirus, and it has accomplished its mission and has stopped your factories,cars, planes..
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/fR0Sc1HeC9
47
#Torment_Planet_Has_Neared
QvwyU|",https://twitter.com/abdessa26181722/status/1464271930945675266,Wed Aug 25 11:44:39 +0000 2021,1430496265272451072,false,,13,96,18,0,,abdessalem,abdessa26181722,5724,,,false
"-0.1275862,51.5072178",Fri Nov 26 14:02:02 +0000 2021,,,https://www.adsrcollective.com/en/latest-news-blog/2021/11/26/defset-emerges-from-lockdown-with-a-16-track-masterpiece,3,1464232984551243785,,,,en,"London, England",false,,2,,,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>",DEFSET emerges from lockdown with a 16-track masterpiece  https://t.co/39hQGv5wDK  @defsetsound,https://twitter.com/adsrcollective/status/1464232984551243785,Thu Jul 17 18:38:52 +0000 2014,2654568788,false,"Electronic music blog / label
https://t.co/ZvCAlFL9wq",5014,2089,1526,84,"Tokyo, Japan",ADSR Collective,adsrcollective,3509,,http://www.adsrcollective.com,false
