coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-73.56725453,45.75975883",Sun Dec 05 06:30:40 +0000 2021,,,http://dlvr.it/SDmpXg,0,1467380885209051136,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Live coronavirus updates for Leeds as Ireland brings in Christmas bars and restaurants restrictions: The country's Prime Minister has said the restrictions follow ""very stark"" advice from the chief medical officer. https://t.co/8FcKIDuNXC",https://twitter.com/StigmabaseN/status/1467380885209051136,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1610,1297,111,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,952255,,https://www.stigmabase.org/,false
"-97.6475,31.106",Sun Dec 05 14:16:46 +0000 2021,,,https://www.washingtonpost.com/health/2021/11/29/covid-holiday-questions/,0,1467498182447964161,,,,en,"Texas, USA",false,,0,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">heapevents.info</a>","Covid Holiday Questions ☝ 😐 
 https://t.co/yUuC6l7iUV",https://twitter.com/heapevents/status/1467498182447964161,Sat Jan 09 15:58:46 +0000 2021,1347935690332495877,false,just heap of US events,0,7,25,1,,heapevents.info,heapevents,21302,,https://www.heapevents.info/,false
"-73.6844,40.6831",Sun Dec 05 13:07:10 +0000 2021,SouthernStateParkway,,http://511ny.org/EventDetails/TRANSCOM/ORI241550909,0,1467480669467123723,,,,en,"North Valley Stream, NY",false,,0,,,"<a href=""https://511ny.org"" rel=""nofollow"">NYRegions</a>",Incident on #SouthernStateParkway WB from Exit 16 - Franklin Avenue WB to Exit 15 - North Corona Avenue https://t.co/pYXE0ZD26W,https://twitter.com/511nyLongIsland/status/1467480669467123723,Thu Jun 25 18:45:29 +0000 2009,50729679,false,Traffic & transit updates for the Long Island area provided by New York State 511. Visit the website for more feeds.,0,2049,0,115,Long Island,511NY - Long Island,511nyLongIsland,366251,,http://twitter.511ny.org/,false
"121.04122377,14.4169508",Sun Dec 05 13:29:39 +0000 2021,,,https://www.instagram.com/p/CXGlYR1vXzj/?utm_medium=twitter,0,1467486328141058049,,,,en,"Lungsod ng Muntinlupa, Pambansang Punong Rehiyon",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Sa dami ng tao kanina, ""what is covid?"" 🤔

Let's continue to obey safety protocols and esp WTF (Wear The Facemask) 😷 @ Festival Mall, Alabang https://t.co/oDZh8FLv3e",https://twitter.com/EsraArriola/status/1467486328141058049,Fri Jun 18 05:03:39 +0000 2010,156873521,false,The Walkaholic | Licensed Financial Consultant,13043,1101,1688,4,Somewhere in Neverland,ESRV,EsraArriola,30124,,https://www.facebook.com/TheWalkaholicEsra/,false
"-95.365851,29.745436",Sun Dec 05 13:29:36 +0000 2021,,,,6,1467486315952361472,,,,en,"Houston, TX",,,2,,,"<a href=""https://onloft.com/tweetlogix"" rel=""nofollow"">Tweetlogix</a>",That LRT is exactly why I’m so stringent against the anti-vax. Been in this shit 2 years and people still acting stupid over the vaccine. Y’all either scared of needles and cowardly won’t admit or just stupid af at this point.,https://twitter.com/WinkWestwood/status/1467486315952361472,Sun Mar 06 01:14:54 +0000 2011,261469386,false,Content Creator • Video Producer • #VeteransForKaepernick,837,9642,6161,72,"Houston, TX",🐻+🍯=❤️,WinkWestwood,458778,,,false
"-0.12485951,51.50538967",Sun Dec 05 10:15:44 +0000 2021,Italiandentist vaccine,,http://dlvr.it/SDn9FZ,0,1467437523798396930,,,,en,"London, England",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",#Italiandentist presents fake arm for #vaccine to get pass https://t.co/6NsRzaI6AB,https://twitter.com/BritishHeraldUK/status/1467437523798396930,Wed Feb 17 17:49:42 +0000 2010,115123902,false,Where Britain Meets the World® | The Official handle of #britishherald,350,133884,607,283,"London, United Kingdom",British Herald,BritishHeraldUK,57106,,http://www.britishherald.com,false
"-4.629734,54.08989",Sun Dec 05 09:02:14 +0000 2021,coronavirus iom coronaupdate,,https://netc.im/Covid-19,0,1467419030860582919,,,,en,"Ballasalla, Isle of Man",false,,0,,,"<a href=""http://www.netcetera.co.uk"" rel=""nofollow"">IOM</a>","Coronavirus Daily Update: As at 04 Dec 2021, in the Isle of Man there have been 11861 confirmed cases. #coronavirus #iom #coronaupdate https://t.co/WNfsczfk7J",https://twitter.com/iom/status/1467419030860582919,Mon Aug 27 14:51:27 +0000 2007,8463142,false,Local news for the Isle of Man - brought to you by Netcetera Managed Hosting,6,4427,1304,70,Isle of Man,Isle of Man,iom,36022,,https://netcetera.uk,false
"-77.7894,43.0961",Sun Dec 05 13:31:58 +0000 2021,,,https://www.instagram.com/p/CXGlpQMO8ZR/?utm_medium=twitter,2,1467486911505870857,,,,en,"West Chili, NY",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Beautiful sunrise glow on walk home from work this morning. @ West Chili, New York https://t.co/IgbBp4U5Dq",https://twitter.com/mikeeoinks/status/1467486911505870857,Thu Jan 28 07:36:12 +0000 2021,1354694691036557313,false,Simpin' ain't easy; 💰🐷&🏧; betasexual; belonging to @goddessdeceline,1085,12,23,1,"Rochester, NY",Mike,mikeeoinks,109,,,false
"4.35,50.85",Sun Dec 05 09:16:12 +0000 2021,,,https://www.instagram.com/p/CXGIX_BFp6XhiFCXfWbffJYdYCowc519uhD6-A0/?utm_medium=twitter,0,1467422543367839747,,,,en,"Brussel, België",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Got my negative covid test! Officially allowed to leave the house!  Now to explore and start the vacation! @ Brussels, Belgium https://t.co/MrMv4pcJHL",https://twitter.com/kachaturoff/status/1467422543367839747,Fri Feb 27 15:47:43 +0000 2015,3046983841,false,,1718,33,142,0,,Momma Kachaturoff,kachaturoff,257,,,false
"7.4833,9.0667",Sun Dec 05 09:15:00 +0000 2021,,,https://www.instagram.com/p/CXGIPM7s9C2/?utm_medium=twitter,0,1467422240602042368,,,,en,"Abuja, Nigeria",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BREAKING: The United Kingdom has banned foreign travellers from Nigeria starting from Monday, December 6, as part of new measures against the Omicron variant of COVID-19 @ Abuja, Nigeria https://t.co/0WawxuY59c",https://twitter.com/PrinceIykemike/status/1467422240602042368,Sat Sep 15 17:21:02 +0000 2012,825640508,false,"BE THE CHANGE YOU WISh TO SEE
              IN THE WORLD",43,33,125,0,Abuja-Nigeria,@Icequeonit,PrinceIykemike,649,,https://www.youtube.com/channel/UC9B0_PaZorOSIS0sOTiwqhQ,false
