coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-104.77851374,57.69530844",Sat Mar 26 03:05:14 +0000 2022,,https://twitter.com/DailyNews79/status/1507554240633352194/photo/1,http://lasthour.hipeople.biz/SMP1Kb,0,1507554240633352194,,,,en,"Division No. 18, Unorganized, Saskatchewan",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Legacy and language around masks will be debated long after pandemic recedes: experts - CP24 Toronto's Breaking News https://t.co/FcbWuUiGHe https://t.co/hEBupXcb04,https://twitter.com/DailyNews79/status/1507554240633352194,Wed Feb 09 07:43:20 +0000 2022,1491316688549253120,false,"Ours is just a small press release, it's not spam.
Subscribe to our comunity https://t.co/upst403dGf",10,61,537,0,Italy,DailyNews 🇮🇹,DailyNews79,159876,,https://hipeople.biz,false
"80.19415,12.62778",Sat Mar 26 13:40:33 +0000 2022,,,https://www.instagram.com/p/Cbka2-nhnIE/?utm_medium=twitter,0,1507714121877315585,,,,en,"चेंगलपट्टू, भारत",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Second time visit Mahabalipuram after Covid 19 situations with friends after long time enjoyed alot 😍🥰 @ Mahabalipuram, Tamil Nadu, India https://t.co/BuK8sicfdp",https://twitter.com/chandra57037181/status/1507714121877315585,Tue May 20 08:42:06 +0000 2014,2509762855,false,"I/c of Dairy Dept., Livestock Research Station, Cattle Project, SVVU, Lam Farm, Guntur, A.P.",4,7,55,0,Guntur,CHNANDU VARAKALA,chandra57037181,822,,,false
"-86.251068,33.17836",Sat Mar 26 11:37:18 +0000 2022,,,https://www.instagram.com/p/CbkMwYOuSBRJ8hvfk1MA-rKFqqsNUZAs3ZEQSQ0/?utm_medium=twitter,0,1507683104093511681,,,,en,"Sylacauga, AL",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Well, we made it to Alabama withOUT catching COVID...Thank you, Jesus! @ Sylacauga, Alabama https://t.co/bBl5uLVlY0",https://twitter.com/ForeverMeBari/status/1507683104093511681,Sat May 05 19:51:32 +0000 2012,572025409,false,Follow me on IG: @enhance.your.pretty and @enhance.your.pretty.vsg!,250,26,245,0,"Hughesville, MD",Jabari Diggs,ForeverMeBari,1810,,http://www.facebook.com/baribabie101,false
"-101.72383598,40.35536344",Sat Mar 26 10:36:53 +0000 2022,,https://twitter.com/DailyNews79/status/1507667900810768384/photo/1,http://lasthour.hipeople.biz/SMPlwv,0,1507667900810768384,,,,en,"Nebraska, USA",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Pandemic didn't stop Hawaii's population decline as thousands more flock to mainland - Hawaii News Now https://t.co/13isCyJZIH https://t.co/YTdu0Qo9Av,https://twitter.com/DailyNews79/status/1507667900810768384,Wed Feb 09 07:43:20 +0000 2022,1491316688549253120,false,"Ours is just a small press release, it's not spam.
Subscribe to our comunity https://t.co/upst403dGf",10,61,537,0,Italy,DailyNews 🇮🇹,DailyNews79,159876,,https://hipeople.biz,false
"-0.1094,51.5141",Sat Mar 26 14:35:12 +0000 2022,persianfood iranianmum kuku covid,,https://www.instagram.com/p/CbkhHZCAH2y/?utm_medium=twitter,0,1507727876530970630,,,,en,"City of London, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Thank you 🙏 Mum &amp; Dad for driving to me and delivering Medicine Liquids and Delicious 🤤 Persian Kuku ( Vegetable 🥕 omelette) and Tomato 🍅 Rice 🍚 Yum 😋 #persianfood #iranianmum #kuku #covid 🤒 Sucks 👎 https://t.co/FgHlXbCbCq,https://twitter.com/terrytopcat/status/1507727876530970630,Wed Apr 15 20:17:07 +0000 2009,31506438,false,,17980,349,1187,1,,Topcat,terrytopcat,7306,,,false
"14.44749561,35.88317301",Sat Mar 26 13:27:03 +0000 2022,Malta Taxi Chauffeur,https://twitter.com/Cab4Now/status/1507710725250183171/photo/1,http://dlvr.it/SMQ5Rx,0,1507710725250183171,,,,en,Malta,false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","COVID-19 safety advice for taxi, ride hail, rental and car share users https://t.co/aq0zWyyikX #Malta #Taxi #Chauffeur https://t.co/QrrPe4k2VD",https://twitter.com/Cab4Now/status/1507710725250183171,Fri Aug 27 20:57:00 +0000 2010,183762958,false,"🇬🇧 UK & Malta's Favourite Chauffeur, Private Hire, Taxi & Minicab Website Since 2010. Free airport transfers for patrons in Malta - https://t.co/4P1DfZJSc3 | 🇲🇹",25256,10284,164,143,London,Cab4Now.com,Cab4Now,117429,,https://Cab4Now.com,false
"-73.56725453,45.75975883",Sat Mar 26 08:05:33 +0000 2022,,,http://dlvr.it/SMPSNb,0,1507629817763532800,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Taoiseach pays tribute to Dr Tony Holohan as he steps down as HSE Chief Medical Officer: “Thank you @CMOIreland Tony Holohan for your outstanding service to the Irish people, during the pandemic, and over 21 years in the CMO office.”… https://t.co/vqt5GobUNZ",https://twitter.com/StigmabaseN/status/1507629817763532800,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1610,1297,111,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,952436,,https://www.stigmabase.org/,false
"134.23683253,-25.1875263",Sat Mar 26 02:55:05 +0000 2022,,https://twitter.com/DailyNews79/status/1507551684758712321/photo/1,http://lasthour.hipeople.biz/SMP0c9,0,1507551684758712321,,,,en,"Ghan, Northern Territory",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Qld enters second wave as state still counts the cost of quarantine - Brisbane Times https://t.co/fUdHoxCpol https://t.co/6dPNPUHD96,https://twitter.com/DailyNews79/status/1507551684758712321,Wed Feb 09 07:43:20 +0000 2022,1491316688549253120,false,"Ours is just a small press release, it's not spam.
Subscribe to our comunity https://t.co/upst403dGf",10,61,537,0,Italy,DailyNews 🇮🇹,DailyNews79,159876,,https://hipeople.biz,false
"-4.259,55.858",Sat Mar 26 02:38:55 +0000 2022,covid covidfree anticovid,,https://www.instagram.com/p/CbjPI6Mqk3jO448Y4uyUQbtRaNSR3Pfb9FFWM40/?utm_medium=twitter,0,1507547616640385033,,,,en,"Glasgow, Scotland",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","I make him right. I've been covid free so far.
#covid #covidfree #anticovid @ Glasgow, United Kingdom https://t.co/JB24knyqrP",https://twitter.com/culturemonkey/status/1507547616640385033,Mon Oct 08 14:06:12 +0000 2007,9309522,false,"Media junkie, journo /commentator, grammar freak but nice about it. Motorbikes, culture, publife and general observations. Needs a purpose. 🤔",868,178,994,3,"Glasgow, Scotland",Mairi,culturemonkey,1748,,,false
"-6.26177709,53.34412689",Sat Mar 26 10:03:33 +0000 2022,,https://twitter.com/RebelDublin/status/1507659512139767808/photo/1,http://dlvr.it/SMPhLs,0,1507659512139767808,,,,en,"Dublin City, Ireland",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Hanging Up His Cape: Dr Tony Holohan is to step down from his position as chief medical officer, it has been confirmed today. He chaired the National Public Health Emergency Team which responded to the Covid-19 pandemic and advised on Government policy… https://t.co/tQsPW97wGf https://t.co/kSY6CUgaeS",https://twitter.com/RebelDublin/status/1507659512139767808,Tue Feb 23 15:00:23 +0000 2016,702145987217899520,false,"Discover all about our beloved Dublin from Ireland's history to tourist attractions... humorously.
Use the Hashtag #RebelDublin",34,276,53,14,"Dublin City, Ireland",Rebel Dublin,RebelDublin,8601,,http://rebeldublin.ie,false
"-68.4656851,18.7285755",Sat Mar 26 14:24:07 +0000 2022,nausea diarrhea vomiting gas fatigue stomachpain,,https://iwaspoisoned.com/i/jNJZmlN,1,1507725087172145156,,,,en,"Higüey, Dominican Republic",false,,0,,,"<a href=""https://iwaspoisoned.com"" rel=""nofollow"">IWPTweets</a>","Punta Cana, La Altagracia - I stayed 6 nights/7days at the Majestic Mirage, had 2 negative Covid swabs ( 1 right now and 1 before leaving the resort. ) Today is about... Food Poisoning https://t.co/epJgrfkxm0 #nausea #diarrhea #vomiting #gas #fatigue #stomachpain",https://twitter.com/iwaspoisoned_/status/1507725087172145156,Fri Oct 20 02:12:41 +0000 2017,921197448885886977,false,Got food poisoning? Report it now at https://t.co/uqaqt4dYM1 . The #1 consumer led food poisoning reporting platform in the world.,199,699,3,2,,Iwaspoisoned.com,iwaspoisoned_,92681,,https://iwaspoisoned.com,false
"47.768555,29.363027",Sat Mar 26 07:09:14 +0000 2022,اللهم_اغفر_لام_الامام_الموعود,,,0,1507615645466349568,,,,en,"ميناء الدوحة, دولة الكويت",,,2,,,"<a href=""http://noonlib.com"" rel=""nofollow"">Nashernoon</a>","#اللهم_اغفر_لام_الامام_الموعود
 ,in a blink of an eye, with COVID that is faster than light by a command from Allaah with the Word ""Be"" so it is,
Imam Mahdi Nasser Mohammed Al-Yamani
11-Rajab-1443AH
12-February-2022AD
167
 
9S1YLT",https://twitter.com/ejhayhasbigbird/status/1507615645466349568,Sun Apr 17 15:29:54 +0000 2011,283576454,false,"Abd El-Naeem Al-Azaam, Supporters of the Imam Nasser Mohammed Al-Yamani",0,88,5,0,,Mohamed Abd El-Naeem,ejhayhasbigbird,16401,,,false
"77.57515252,12.97303018",Sat Mar 26 07:57:28 +0000 2022,,,https://www.instagram.com/p/CbjzmBlKsZL/?utm_medium=twitter,0,1507627784306368512,,,,en,"बैंगलुरु, भारत",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Covid duties from June 2020 to March 2022 @ Bengaluru, Karnataka-ಕರ್ನಾಟಕ https://t.co/73hhOOTMmV",https://twitter.com/Drimran20936462/status/1507627784306368512,Wed Jan 31 18:33:38 +0000 2018,958770262631243778,false,"HOMOEO PHYSICIAN,COVID-19 C.M.O BBMP YZ, Member IRCS RED CROSS  | ASST PROFESSOR ,FREELANCE MEDICAL ILLUSTRATOR | EX-RBSK M.O, RICHFEEL TRICHOLOGIST,",3838,197,1233,0,"Hindupur, India","Dr.R.IMRAN.KHAN,MD",Drimran20936462,525,,,false
"-73.56725453,45.75975883",Sat Mar 26 05:06:09 +0000 2022,,,http://dlvr.it/SMPB0Y,0,1507584669201539073,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma: Tony Holohan to step down as chief medical officer — Evening Standard: Dr Holohan became one of the best known figures in Ireland overnight when the pandemic struck. https://t.co/MKZU4GzQo4,https://twitter.com/StigmabaseN/status/1507584669201539073,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1610,1297,111,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,952436,,https://www.stigmabase.org/,false
