coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-0.12485951,51.50538967",Thu Mar 31 11:10:04 +0000 2022,COVID19 cruiseshiptravelers,,http://dlvr.it/SMjDmV,0,1509488191220641796,,,,en,"London, England",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",CDC drops #COVID19 health warning for #cruiseshiptravelers https://t.co/UYtOjEfsg1,https://twitter.com/BritishHeraldUK/status/1509488191220641796,Wed Feb 17 17:49:42 +0000 2010,115123902,false,Where Britain Meets the World® | The Official handle of #britishherald,350,133879,608,283,"London, United Kingdom",British Herald,BritishHeraldUK,57111,,http://www.britishherald.com,false
"-98.2883,41.1289",Thu Mar 31 13:15:48 +0000 2022,,,https://www.hastingstribune.com/covid-19/five-more-south-heartland-deaths-linked-to-covid-19/article_720cdb5e-afd6-11ec-8852-c7d81348969e.html,0,1509519831997026308,,,,en,"Nebraska, USA",false,,0,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">heapevents.info</a>","Covid Five More South Heartland Deaths Linked To Covid ☝ 🙂 
 https://t.co/GrHzjIDqVO",https://twitter.com/heapevents/status/1509519831997026308,Sat Jan 09 15:58:46 +0000 2021,1347935690332495877,false,just heap of US events,0,7,25,1,,heapevents.info,heapevents,21354,,https://www.heapevents.info/,false
"123.12851251,12.49173431",Thu Mar 31 09:51:26 +0000 2022,,https://twitter.com/DailyNews79/status/1509468404901576704/photo/1,http://lasthour.hipeople.biz/SMj09c,0,1509468404901576704,,,,en,Republika ng Pilipinas,false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Booster shot urged as 1 in 5 COVID patients diabetic - ABS-CBN News https://t.co/AeLOOZXdwn https://t.co/WlZFQumSi7,https://twitter.com/DailyNews79/status/1509468404901576704,Wed Feb 09 07:43:20 +0000 2022,1491316688549253120,false,"Ours is just a small press release, it's not spam.
Subscribe to our comunity https://t.co/upst403dGf",10,61,537,0,Italy,DailyNews 🇮🇹,DailyNews79,159876,,https://hipeople.biz,false
"-80.0169,32.8854",Thu Mar 31 14:19:55 +0000 2022,gotmyshot booster stopthespread vaccinationdone,,https://www.instagram.com/p/CbxXVzMuY_M/?utm_medium=twitter,0,1509535970248601610,,,,en,"North Charleston, SC",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","2nd COVID-19 Booster in the books!  #gotmyshot #booster #stopthespread #vaccinationdone✔️ @ North Charleston, South Carolina https://t.co/lzwebG47Zj",https://twitter.com/Renee_FValdes/status/1509535970248601610,Thu Feb 05 15:47:38 +0000 2009,20158019,false,"Former NYer, loving SC; Fiber Artist, Wife, Mom and Retired Software Exec. Loving life, quilting, traveling, gardening and spending time with family/friends.",1600,164,161,32,"North Charleston, SC",Renee FleurangesVald,Renee_FValdes,3353,,http://quiltedartistry.wixsite.com/quiltedartisty,false
"-77.85821866,34.1981982",Thu Mar 31 13:46:48 +0000 2022,,,https://www.deseret.com/coronavirus/2022/3/29/23001248/covid-19-symptoms-dry-eye-infection-disease-blurred-vision?_amp=true,0,1509527635055063040,,,,en,"Hightsville, NC",false,,0,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Another complication of coronavirus... Good to connect the dots for problem cause 

COVID symptoms: A major eye COVID symptom you can’t ignore - Deseret News - ""COVID symptoms: A major eye COVID symptom you can’t ignore - Deseret News"" https://t.co/r0Pw0EjpDJ",https://twitter.com/DrJFamPhysn/status/1509527635055063040,Fri Aug 26 16:11:11 +0000 2011,362561191,false,"Family physician with a subspecialty certification in Adolescent Medicine. In office & virtual - high quality, cost-effective healthcare for whole family.",2,46,41,1,"Leland, North Carolina USA",Robert R Johnson Jr,DrJFamPhysn,1408,,http://www.wilmingtonhealth.com,false
"50.55091437,26.03118305",Thu Mar 31 14:57:13 +0000 2022,خليفه_الله_المهدي,,,6,1509545355557416964,,,,en,مملكة البحرين,,,10,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Add this statement to the series of statements about corona, the blood gnat; for far-reaching wisdom. 
Imam Nasser Mohammed Al-Yamani
26-Sha'ban-1443
29-03-2022
140
#خليفه_الله_المهدي
 
MXSKG&amp;",https://twitter.com/njwymhmd6/status/1509545355557416964,Thu Nov 18 21:05:12 +0000 2021,1461440166258741260,false,ممرضه,14,51,6,0,,نجوى محمد,njwymhmd6,5640,,,false
"-117.868184,33.601926",Thu Mar 31 02:49:24 +0000 2022,,,https://www.instagram.com/p/CbwIUMLrq6Cqrg4HqmKIZPA1GiVckkK0mMNiCY0/?utm_medium=twitter,0,1509362195741790208,,,,en,"Newport Beach, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Lamb shanks over mashed potatoes anyone @ Corona del Mar https://t.co/T584LY8xZY,https://twitter.com/jackduh/status/1509362195741790208,Wed Oct 22 16:01:44 +0000 2008,16907668,false,,5,27,170,4,Corona Del Mar,Jack,jackduh,2476,,,false
"-0.12485951,51.50538967",Thu Mar 31 13:09:32 +0000 2022,COVID19,,http://dlvr.it/SMjd32,0,1509518256633131008,,,,en,"London, England",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Vaccines provide extra protection for those with immunity from a previous #COVID19 infection, according to two new studies https://t.co/039cIrtSk0",https://twitter.com/BritishHeraldUK/status/1509518256633131008,Wed Feb 17 17:49:42 +0000 2010,115123902,false,Where Britain Meets the World® | The Official handle of #britishherald,350,133879,608,283,"London, United Kingdom",British Herald,BritishHeraldUK,57111,,http://www.britishherald.com,false
"106.78298146,-6.26584458",Thu Mar 31 08:22:59 +0000 2022,,,https://www.swarmapp.com/c/faCqftCSGTT,0,1509446144992153602,,,,en,"Kebayoran Lama, Indonesia",false,,0,,,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Good Lord, last time I was here, it was 2018, before the pandemic 😭 (at @PondokIndahMall 2 in Jakarta Selatan, DKI Jakarta) https://t.co/5E5yBx7ho7",https://twitter.com/gregasmic/status/1509446144992153602,Sun Jun 07 19:38:47 +0000 2009,45406421,false,a Gemini; a Dioscuri. Long walks are my form of meditation; I enjoy it. I play music. I doodle. I take photos. I count UFOs. Ghosts and trees fascinate me. †,70,353,227,8,Indonesia,greg runtunuwu ♊,gregasmic,13336,,http://multiplegregasm.daportfolio.com,false
"50.55091437,26.03118305",Thu Mar 31 14:57:16 +0000 2022,خليفه_الله_المهدي,,,5,1509545368257802244,,,,en,مملكة البحرين,,,11,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Add this statement to the series of statements about corona, the blood gnat; for far-reaching wisdom. 
Imam Nasser Mohammed Al-Yamani
26-Sha'ban-1443
29-03-2022
140
#خليفه_الله_المهدي
 
MXSKG&amp;",https://twitter.com/ujGEnviI01/status/1509545368257802244,Tue Jan 04 01:56:05 +0000 2022,1478183217161252865,false,طب,3,58,6,0,,رشيد محمد,ujGEnviI01,406,,,false
